Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-12-28;29.1;29.25;27.85;29.4;27.75;29.1;28.822;196338;5658862.5;396
2018-12-27;27.55;27.7;28.55;28.75;27.55;27.55;28.173;90981;2563219.35;479
2018-12-21;28.3;28.5;28.4;28.8;28;28.5;28.35;80396;2279551.4;336
2018-12-20;28.35;28.45;29.05;29.1;28.3;28.35;28.581;79321;2267051.45;339
2018-12-19;29.05;29.15;29.65;29.65;29;29.1;29.202;27491;802795.7;131
2018-12-18;29.1;29.2;29.35;29.5;29;29.1;29.276;54763;1603243;200
2018-12-17;29.55;29.6;29.05;29.95;29.05;29.4;29.498;107814;3180325.35;359
2018-12-14;30.05;30.15;30.75;30.75;29.75;30.15;30.096;74008;2227360.15;266
2018-12-13;30.35;30.5;30;30.65;29.8;30.4;30.241;105541;3191629.95;275
2018-12-12;30.1;30.15;29.65;30.25;29.15;30.15;29.961;79416;2379397.6;252
2018-12-11;29.35;29.4;28.4;29.45;28.4;29.45;29.019;102770;2982228.2;297
2018-12-10;28.15;28.3;29.3;29.3;28.15;28.15;28.688;90865;2607188.95;298
2018-12-07;29.2;29.35;30;30;29;29.35;29.275;98028;2869762.45;344
2018-12-06;28.8;28.9;29.35;29.35;28.35;28.75;28.809;142643;4109310.05;478
2018-12-05;29.6;29.65;30.1;30.1;29.35;29.6;29.608;105841;3133763.7;275
2018-12-04;30.35;30.4;30.65;30.65;30.2;30.25;30.307;73979;2242105.6;343
2018-12-03;30.6;30.65;31;31.5;30.1;30.6;30.61;126963;3886218.8;408
2018-11-30;30.45;30.65;30.55;30.75;29.95;30.5;30.31;163320;4954136.73;344
2018-11-29;30.65;30.7;30.35;31.1;30.25;30.65;30.702;163817;5029839.76;434
2018-11-28;29.85;30;29.6;30;29.55;29.95;29.79;91681;2731204.15;264
2018-11-27;29.5;29.65;29.65;29.7;29.3;29.55;29.516;96100;2836862.75;450
2018-11-26;29.5;29.6;29.2;29.65;29.2;29.65;29.406;104518;3073438.75;360
2018-11-23;29;29.15;28.85;29.25;28.85;29.1;29.129;56136;1635165.3;280
2018-11-22;28.95;29.05;29.1;29.35;28.6;28.85;28.936;73927;2139127.25;323
2018-11-21;29.15;29.2;29;29.45;28.9;29.2;29.226;153500;4486040.38;450
2018-11-20;28.75;28.9;29.95;29.95;28.5;28.8;28.865;257255;7425854.2;833
2018-11-19;30;30.15;29.95;30.4;29.7;30.1;30.038;184299;5536033.15;722
2018-11-16;29.25;29.3;28.95;29.4;28.95;29.25;29.189;72853;2126514.8;331
2018-11-15;28.75;28.8;29.45;29.45;28.5;28.8;28.925;129523;3746034.35;428
2018-11-14;29.35;29.4;28.5;29.9;28.5;29.45;29.215;260407;7607754.95;618
2018-11-13;28.7;28.75;30.05;30.45;28.1;28.7;29.153;403436;11761343.6;934
2018-11-12;30.25;30.3;30.75;30.8;30;30.25;30.269;180391;5460176.2;474
2018-11-09;30.7;30.8;30.9;31.45;30.65;30.8;30.864;79384;2450096.7;304
2018-11-08;30.6;30.75;31.7;31.85;30.55;30.7;30.975;149078;4617639.85;484
2018-11-07;31.35;31.45;31.6;31.85;31.15;31.3;31.469;122136;3843443.35;533
2018-11-06;31.7;31.75;32.75;32.75;31.6;31.6;31.872;167526;5339450.3;593
2018-11-05;32.7;32.85;33;33;32.45;32.7;32.836;192862;6332802.35;460
2018-11-02;33.15;33.25;32.35;33.25;32.35;33.1;32.81;146100;4793737.5;412
2018-11-01;32.15;32.25;32.2;32.25;31.6;32.15;32.145;193633;6224235.5;798
2018-10-31;32.1;32.2;31.95;32.4;31.95;32.2;32.22;236563;7622017.4;690
2018-10-30;31.5;31.6;32.15;32.15;31.1;31.5;31.477;198516;6248684.9;437
2018-10-29;32.1;32.2;30.25;32.7;30.25;32.2;31.532;275763;8696287.7;756
2018-10-26;30.35;30.5;31.6;31.6;29.55;30.2;30.159;559559;16882083.4;1245
2018-10-25;31.4;31.55;33.05;33.05;31.05;31.55;31.906;296949;9474578.05;921
2018-10-24;33.2;33.35;33.6;33.8;33.05;33.35;33.334;80477;2682641.75;353
2018-10-23;33.6;33.65;34;34.5;33.6;33.65;33.958;304431;10338521.33;556
2018-10-22;34.65;34.75;34.1;34.85;34.1;34.6;34.599;83998;2906220.55;263
2018-10-19;34.3;34.5;34.3;34.7;34;34.3;34.332;130249;4472314.3;313
2018-10-18;34.65;34.8;34.5;34.95;34.1;34.7;34.609;91667;3172496.85;289
2018-10-17;34.5;34.75;34.2;35.3;34;34.5;34.422;109386;3765260.85;457
2018-10-16;33.8;33.95;32.45;34;32.3;34;33.282;60204;2003685.45;320
2018-10-15;32.4;32.5;33.6;33.6;32.25;32.45;32.978;197963;6528582;623
2018-10-12;33.9;34.15;34.15;34.15;33;33.7;33.681;172981;5826119.4;667
2018-10-11;33.9;34.05;35.5;35.5;32.1;34.15;33.919;509738;17289824.05;1156
2018-10-10;35.7;35.9;36.55;36.7;35.5;35.7;36.113;134351;4851856.2;393
2018-10-09;36.25;36.4;35.5;36.7;35.5;36.25;36.181;109620;3966107.1;355
2018-10-08;35.55;35.7;36.9;36.9;35.5;35.55;36.056;81229;2928801.9;365
2018-10-05;37.2;37.3;37.05;37.4;35.55;37.3;36.384;180480;6566659.7;505
2018-10-04;37;37.15;37.95;37.95;36.95;37.15;37.485;79165;2967528.1;320
2018-10-03;37.7;37.85;37.25;37.95;37.25;37.95;37.757;86730;3274638.6;315
2018-10-02;37.05;37.3;37.3;37.35;37;37.2;37.135;55615;2065252.1;330
2018-10-01;37.1;37.15;37.55;37.55;36.95;37.2;37.182;79182;2944107.65;426
2018-09-28;37.2;37.35;37.85;37.85;37.2;37.2;37.525;97631;3663560.35;513
2018-09-27;37.2;37.4;37.5;38.2;37.05;37.55;37.63;297877;11207968.78;960
2018-09-26;36.5;36.7;36.25;36.85;36.05;36.7;36.551;66290;2422987.4;291
2018-09-25;35.95;36.25;35.2;36.3;35.2;36.2;35.849;163750;5870086.07;304
2018-09-24;35.55;35.7;35.9;35.9;35.15;35.6;35.54;100259;3563558.15;276
2018-09-21;35.9;36.05;36.3;36.75;35.9;35.9;36.215;63198;2288714.85;286
2018-09-20;36.25;36.3;36.1;36.5;36;36.3;36.22;56369;2041687.1;261
2018-09-19;36.05;36.2;36.5;36.55;36;36.15;36.282;79829;2896357.8;314
2018-09-18;36.55;36.6;36.65;36.7;36;36.5;36.441;222457;8106746.4;460
2018-09-17;36.85;36.9;37;37.15;36.75;36.85;36.965;100121;3701168.3;383
2018-09-14;36.8;37;35.9;37;35.8;36.9;36.403;194309;7072659.33;529
2018-09-13;35.75;35.8;35.55;35.85;35.15;35.85;35.564;72152;2565582.68;231
2018-09-12;35.45;35.55;35.45;35.9;35.45;35.55;35.68;50559;1803932.15;256
2018-09-11;35.15;35.3;35.85;35.85;35;35.4;35.279;110385;3894994.2;336
2018-09-10;35.15;35.3;34.4;35.3;34.25;35.25;34.873;105555;3680266.05;258
2018-09-07;34.45;34.5;35.25;35.45;34.4;34.5;34.679;70088;2430585.6;293
2018-09-06;34.85;35.05;35.55;35.55;34.95;35.1;35.146;169848;5969465.25;338
2018-09-05;35.55;35.7;35.95;36.5;35.45;35.65;35.863;71058;2548344.5;273
2018-09-04;35.9;35.95;36.5;36.8;35.9;35.9;36.286;66174;2401177.1;261
2018-09-03;36.1;36.45;36;36.8;35.5;36.45;36.255;124302;4506574.85;403
2018-08-31;35.85;35.95;36.15;36.15;35.35;35.85;35.649;119703;4274797.05;337
2018-08-30;36.05;36.15;35.7;36.15;35.4;36.15;35.805;110224;3946596.45;398
2018-08-29;36;36.1;36.1;36.35;35.55;36.1;35.886;153009;5490866.85;554
2018-08-28;36.4;36.45;36.65;36.65;36.1;36.55;36.415;51247;1866148.25;267
2018-08-27;36.5;36.7;36.8;36.9;36.15;36.65;36.673;153390;5625290.45;324
2018-08-24;36.35;36.4;36.95;36.95;36.1;36.4;36.412;106653;3883430.7;542
2018-08-23;36.8;36.9;36.3;36.95;36.1;36.95;36.645;100787;3693341.75;464
2018-08-22;36.05;36.3;35.35;36.3;35.35;36.3;35.974;102696;3694368.35;404
2018-08-21;35.35;35.55;36.4;36.8;35.1;35.3;35.806;161240;5773960.26;593
2018-08-20;36.25;36.4;35.15;36.95;35.15;36.4;36.257;421785;15292401.05;858
