sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2017-12-29;1,308;1,338;1,338;1,361;1,30;1,308;1,325;451519,9527471695;598462,9;231;
2017-12-28;1,346;1,353;1,308;1,421;1,24;1,346;1,299;861826,7103542499;1119898,93;308;
2017-12-27;1,315;1,338;1,391;1,391;1,203;1,315;1,294;1131081,3741101848;1463457,32;491;
2017-12-22;1,391;1,421;1,436;1,503;1,376;1,413;1,434;497873,48959227145;714151,27;295;
2017-12-21;1,406;1,443;1,315;1,759;1,278;1,443;1,548;1391992,2948087072;2154597,83;683;
2017-12-20;1,30;1,346;1,533;1,579;1,278;1,315;1,462;1136913,4802268454;1662596,65;400;
2017-12-19;1,511;1,533;1,533;1,571;1,503;1,533;1,531;690689,5161773099;1057557,97;263;
2017-12-18;1,556;1,571;1,533;1,594;1,533;1,556;1,555;309206,719160943;480755,77;270;
2017-12-15;1,579;1,609;1,601;1,646;1,556;1,609;1,582;425266,16300896235;672698,02;234;
2017-12-14;1,601;1,639;1,616;1,646;1,571;1,601;1,605;238270,26969499842;382316,63;218;
2017-12-13;1,624;1,646;1,729;1,736;1,549;1,646;1,625;421257,92036993434;684637,36;312;
2017-12-12;1,579;1,616;1,579;1,729;1,518;1,729;1,60;548666,291517505;877862,7;383;
2017-12-11;1,556;1,579;1,721;1,759;1,533;1,556;1,579;1113531,8431131527;1758453,68;520;
2017-12-08;1,669;1,714;1,984;1,992;1,526;1,721;1,704;3522389,886404302;6002975,3;1399;
2017-12-07;2,368;2,39;2,345;2,39;2,285;2,368;2,318;219813,46306576685;509622,47;174;
2017-12-06;2,315;2,345;2,398;2,398;2,285;2,345;2,331;339958,3078910365;792448,53;190;
2017-12-05;2,375;2,398;2,405;2,405;2,293;2,398;2,351;422487,1325167853;993085,17;289;
2017-12-04;2,368;2,405;2,496;2,556;2,263;2,405;2,40;1414275,0907608212;3394062,81;796;
2017-12-01;2,39;2,481;4,886;4,999;2,353;2,436;2,655;4947318,149104498;13137105,28;2285;
