Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2019-02-01;208;208.2;205.9;208.8;205.1;208;207.845;1306432;271510239.7;3107
2019-01-31;204.7;204.9;206;209.4;203.4;204.8;205.532;2449725;503524544.6;7333
2019-01-30;204.5;204.7;203;205.3;200.5;204.8;203.79;1145989;233543498.3;3728
2019-01-29;202.3;202.5;199.45;203;197.85;202.3;201.729;902087;181972809.4;3114
2019-01-28;199.1;199.25;200.3;200.7;198.05;198.9;199.175;936355;186496961.5;3561
2019-01-25;200.2;200.4;197.2;203.1;196.85;200.2;200.705;1466797;294410567.3;4704
2019-01-24;196.4;196.5;195.25;199.8;195.2;196.4;197.155;961938;189650560.6;3639
2019-01-23;195.55;195.65;194.85;198.7;193.75;195.25;196.141;970093;190273701.5;3201
2019-01-22;196.05;196.15;196.9;199.7;194.1;196.15;196.346;892849;175308453.3;2588
2019-01-21;197.95;198.1;200.8;201.9;197.3;198.05;198.827;1233405;245342181.8;3015
2019-01-18;201.1;201.3;198;201.6;197.4;201.4;200.346;1532377;306989718.1;5729
2019-01-17;196.85;197;195;197.2;194.25;196.95;195.911;1138212;222977773.3;4108
2019-01-16;194.45;194.6;194;195.4;190.5;194.45;193.386;1187169;229553626.2;4201
2019-01-15;195.2;195.3;195.8;197.7;194.05;195.3;195.503;788220;154101544.3;3592
2019-01-14;193.9;194.05;196.35;196.95;193.9;194.15;195.041;1012374;197478335.1;3391
2019-01-11;197.75;197.85;198.4;199.95;197.4;197.85;198.355;1112615;220698538.3;4474
2019-01-10;196.85;196.95;195.85;197.25;193.35;197.25;195.808;858731;168144546;3314
2019-01-09;197.6;197.75;196.75;200.9;196.4;197.3;197.916;1001494;198211991.2;3250
2019-01-08;196.5;196.65;194.15;201.7;192.95;196.75;197.432;1441494;284502129.3;4908
2019-01-07;193.95;194.05;193.1;196;191.9;194.1;193.961;937679;181873267.2;3268
2019-01-04;191.7;191.85;184.6;192.95;184.6;192.05;190.358;969644;184576134.4;3461
2019-01-03;184.05;184.15;187.3;189.3;184.1;184.3;185.73;739599;137369821.3;3135
2019-01-02;188.15;188.25;188.5;189.45;184.45;188.2;187.706;931863;174908354.1;4027
2018-12-28;189.65;189.75;190.4;192.3;189.1;189.65;190.227;935600;177976789.5;2806
2018-12-27;188.9;189.05;189;192.2;186.95;188.85;188.807;1106030;209164258.6;3914
2018-12-21;187.9;188;190;190.6;187.1;188.5;188.631;1375631;259486541.9;4686
2018-12-20;190.4;190.5;192.7;193.4;188.85;190;190.3;1043625;198587959.6;4336
2018-12-19;195.95;196.05;195.65;197.5;194.95;196.05;195.88;1185683;232249053.6;4451
2018-12-18;195.8;195.9;193.6;198.45;192.45;195.95;196.19;838997;164601276.5;3555
2018-12-17;193.95;194.1;193.6;194.8;192.2;193.65;193.56;1075531;208175721.7;4129
2018-12-14;194.35;194.45;194.9;196;192.35;194.55;194.55;876520;170529633.6;3337
2018-12-13;197.05;197.15;198.55;199.35;196;197.2;197.591;990185;195652139.8;3917
2018-12-12;198.5;198.65;195.75;199.2;194.35;198.8;197.535;1238408;244623137.1;4079
2018-12-11;195;195.05;192.45;197.25;192.4;195;195.166;1203865;234954288.2;5003
2018-12-10;190.65;190.75;190;192.85;188.7;190.35;190.986;1386356;264779165.5;4127
2018-12-07;191.4;191.5;189.1;194.4;189.1;191.25;191.682;1026721;196806320.9;3893
2018-12-06;190.05;190.2;193.8;193.8;188.55;188.65;190.097;1726400;328190625.2;6094
2018-12-05;195.65;195.75;195.85;199.45;194.7;195.45;196.665;1114902;219266320.7;4448
2018-12-04;198.8;198.9;197.75;200.3;196.6;198.45;198.748;1514773;301092939.4;4555
2018-12-03;198.55;198.65;202.9;206.2;198.45;198.85;200.341;1604019;321368536.8;5627
