Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2017-12-29;4.34;4.35;4.37;4.42;4.26;4.35;4.337;1149458;4985293.94;496
2017-12-28;4.38;4.39;4.51;4.51;4.35;4.39;4.395;566625;2490089.84;378
2017-12-27;4.43;4.44;4.5;4.66;4.35;4.44;4.45;794539;3535435.53;692
2017-12-22;4.46;4.48;4.12;4.59;4.12;4.48;4.329;1181417;5113767.02;816
2017-12-21;4.13;4.17;4.21;4.28;4.08;4.12;4.172;610079;2545094.28;428
2017-12-20;4.17;4.2;4.33;4.36;4.17;4.18;4.241;1010265;4284114.78;502
2017-12-19;4.33;4.39;4.44;4.5;4.2;4.38;4.386;1044585;4581982.13;504
2017-12-18;4.51;4.52;4.54;4.64;4.42;4.51;4.517;661695;2988594.77;331
2017-12-15;4.55;4.57;4.8;4.8;4.51;4.56;4.595;921281;4233441.44;500
2017-12-14;4.7;4.73;4.45;4.85;4.45;4.75;4.703;2489717;11707816.9;1101
2017-12-13;4.44;4.45;5.05;5.05;4.33;4.45;4.575;8425318;38546303.87;2953
2017-12-12;5.05;5.15;5.2;5.25;5.05;5.15;5.114;403545;2063573.2;266
2017-12-11;5.2;5.25;5.2;5.25;5.05;5.2;5.184;647162;3355017.15;323
2017-12-08;5.05;5.1;5;5.2;4.92;5.1;5.057;906336;4582892.37;426
2017-12-07;5;5.05;5.15;5.15;4.98;5;5.037;1012980;5101875.3;603
2017-12-06;5.15;5.2;5.35;5.35;5.15;5.2;5.219;706626;3688104.35;408
2017-12-05;5.3;5.35;5.4;5.45;5.3;5.35;5.366;519677;2788446.6;318
2017-12-04;5.45;5.5;5.45;5.55;5.3;5.45;5.462;307508;1679442.15;252
2017-12-01;5.4;5.45;5.45;5.5;5.2;5.45;5.377;664650;3573821.75;382
2017-11-30;5.4;5.5;5.6;5.6;5.4;5.45;5.489;878010;4819256.05;470
2017-11-29;5.6;5.65;5.65;5.7;5.55;5.6;5.605;476671;2671530.85;340
2017-11-28;5.55;5.65;5.6;5.75;5.55;5.6;5.616;735537;4130391.85;399
2017-11-27;5.6;5.65;5.65;5.9;5.55;5.6;5.724;1452696;8315066.25;525
2017-11-24;5.65;5.75;5.7;5.8;5.5;5.7;5.674;1371483;7781684.4;558
2017-11-23;5.6;5.65;5.75;5.75;5.45;5.65;5.59;1178612;6588444.85;649
2017-11-22;5.75;5.8;5.9;6.05;5.7;5.8;5.842;1966408;11487419.2;518
2017-11-21;5.9;5.95;6.25;6.35;5.9;5.9;6.035;2563563;15470898.4;801
2017-11-20;6.15;6.2;5.85;6.35;5.65;6.2;6.047;3813206;23059298.9;1257
2017-11-17;5.85;5.9;5.85;6.1;5.75;5.85;5.947;2145778;12761885.65;925
2017-11-16;5.75;5.8;5.55;5.8;5.4;5.8;5.624;1391887;7827425.2;591
2017-11-15;5.45;5.5;5.7;5.7;5.4;5.5;5.517;868903;4793686.25;425
