Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-05-29;8.525;8.55;8.58;8.64;8.4;8.505;8.505;835324;7103972.82;601
2018-05-28;8.56;8.585;8.75;8.795;8.54;8.55;8.641;781695;6754246.67;612
2018-05-25;8.75;8.77;9.005;9.075;8.58;8.75;8.802;1565406;13778929.04;993
2018-05-24;9.08;9.1;9.405;9.5;9.015;9.085;9.287;1264706;11744392.28;852
2018-05-23;9.315;9.33;9.8;9.8;9.15;9.255;9.411;2116939;19918427.01;1237
2018-05-22;9.855;9.9;10.05;10.12;9.75;9.85;9.902;2915325;28867663.18;1794
2018-05-21;10.05;10.09;8.71;10.15;8.71;10.15;9.654;5709714;55120894.6;3433
2018-05-18;8.46;8.485;8.4;8.5;8.31;8.5;8.412;1285947;10817050.72;747
2018-05-17;8.335;8.38;8.36;8.5;8.305;8.335;8.406;1278003;10745145.89;784
2018-05-16;8.265;8.29;8.15;8.35;8.135;8.35;8.24;685589;5649157.65;505
2018-05-15;8.12;8.13;8.19;8.29;8.115;8.13;8.19;1134454;9292745.83;887
2018-05-14;8.205;8.23;8.285;8.3;8.18;8.215;8.224;1320747;10860468.95;768
2018-05-11;8.145;8.16;8.225;8.28;8.055;8.205;8.195;4337686;35554987.21;1977
2018-05-09;7.96;7.995;7.955;8.015;7.925;8;7.99;826980;6607361.28;327
2018-05-08;7.865;7.9;8.015;8.03;7.865;7.865;7.947;857311;6812789.41;582
2018-05-07;8.005;8.04;7.905;8.045;7.905;8.01;8.006;930355;7448583.17;565
2018-05-04;7.85;7.865;7.965;7.98;7.85;7.85;7.888;427814;3374537.82;288
2018-05-03;7.885;7.915;7.945;8.01;7.83;7.995;7.949;422250;3356470.62;367
2018-05-02;7.905;7.995;8.1;8.25;7.91;7.91;8.049;1197135;9639581.59;741
2018-04-30;8.005;8.04;8.015;8.08;7.95;8.08;8.004;249678;1998435.85;200
2018-04-27;7.945;8.01;7.91;8.05;7.785;8.015;7.925;1063078;8424990.65;488
2018-04-26;7.835;7.875;7.84;7.93;7.78;7.84;7.868;425381;3346926.22;337
2018-04-25;7.765;7.82;7.9;7.9;7.75;7.78;7.805;582732;4548389.93;493
2018-04-24;7.88;7.89;8;8.02;7.87;7.905;7.956;531026;4224741.94;443
2018-04-23;7.96;7.975;8.095;8.095;7.91;7.95;7.977;427089;3407075.97;305
2018-04-20;8.01;8.04;8.07;8.135;7.995;8.01;8.045;377664;3038216.98;341
2018-04-19;8.055;8.09;7.985;8.13;7.985;8.07;8.071;902305;7282408.73;743
2018-04-18;7.95;8;8;8;7.855;7.98;7.965;232597;1852605.66;175
2018-04-17;7.92;7.96;7.895;7.975;7.82;7.955;7.924;624160;4946046.35;287
2018-04-16;7.9;7.925;8;8.1;7.895;7.895;7.952;408280;3248192.68;376
2018-04-13;7.97;8.015;7.95;8.05;7.92;7.98;7.992;462181;3694680.17;396
2018-04-12;7.955;7.99;7.925;8.19;7.925;7.95;8.032;807909;6493620.47;467
2018-04-11;7.95;7.98;7.715;7.99;7.715;7.99;7.844;497192;3899903.74;332
2018-04-10;7.755;7.78;7.705;7.825;7.665;7.8;7.745;300531;2327718.03;292
2018-04-09;7.695;7.735;7.875;7.875;7.645;7.67;7.718;626932;4840219.27;474
2018-04-06;7.87;7.9;7.9;7.95;7.76;7.9;7.842;746915;5857286.64;495
2018-04-05;7.845;7.87;7.775;7.9;7.775;7.9;7.853;436544;3428279.16;446
2018-04-04;7.76;7.8;7.875;7.9;7.675;7.775;7.758;12749518;97971952.98;575
2018-04-03;7.75;7.785;7.69;7.885;7.66;7.81;7.745;2711615;21001968.86;794
2018-03-29;7.715;7.75;7.75;7.78;7.65;7.75;7.709;653565;5038666.69;344
2018-03-28;7.69;7.71;7.78;7.9;7.68;7.695;7.735;740191;5725270.87;631
2018-03-27;7.76;7.79;7.985;7.995;7.76;7.775;7.844;1101949;8643733.49;751
2018-03-26;7.95;7.975;8.005;8.08;7.945;7.95;7.993;478746;3826435.14;380
2018-03-23;8.035;8.08;8.095;8.095;7.97;8.035;8.028;486679;3906811.63;404
2018-03-22;8.06;8.105;8.24;8.345;8.05;8.065;8.176;598561;4893909.23;431
2018-03-21;8.205;8.225;8.12;8.235;8.055;8.235;8.152;510636;4162571.94;406
2018-03-20;8.09;8.12;8.07;8.135;8.04;8.115;8.071;478201;3859327.87;404
2018-03-19;8.075;8.1;8.07;8.145;8.04;8.075;8.082;462218;3735843.64;399
2018-03-16;8.08;8.105;8.04;8.18;8.03;8.075;8.108;615744;4992258.01;601
2018-03-15;8.08;8.095;8.205;8.225;8.03;8.07;8.114;909801;7381953.66;637
2018-03-14;8.2;8.235;8.32;8.34;8.2;8.205;8.261;882845;7293422.68;714
2018-03-13;8.345;8.37;8.405;8.445;8.32;8.37;8.379;964597;8083557.74;679
2018-03-12;8.395;8.425;8.505;8.55;8.38;8.4;8.434;611882;5160359.32;446
2018-03-09;8.41;8.445;8.33;8.45;8.33;8.45;8.416;698963;5882200.54;470
2018-03-08;8.37;8.395;8.4;8.49;8.36;8.375;8.43;1063932;8973208.67;755
2018-03-07;8.36;8.38;8.495;8.495;8.34;8.375;8.398;607600;5105144.49;624
2018-03-06;8.355;8.43;8.46;8.485;8.335;8.345;8.388;665664;5584818.44;540
2018-03-05;8.41;8.465;8.38;8.49;8.35;8.455;8.416;695094;5849639.79;528
2018-03-02;8.305;8.35;8.435;8.44;8.3;8.3;8.356;814912;6809544.3;491
2018-03-01;8.465;8.505;8.52;8.615;8.415;8.505;8.502;377909;3213072.01;361
2018-02-28;8.555;8.6;8.54;8.64;8.48;8.55;8.566;597711;5120510.22;546
2018-02-27;8.55;8.635;8.695;8.695;8.5;8.555;8.577;693567;5949468.5;566
2018-02-26;8.625;8.66;8.645;8.695;8.57;8.695;8.639;547374;4728868.68;632
