Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2019-02-01;170.2;170.3;168.4;170.75;167.65;170.75;170.08;1780376;302784739.1;2982
2019-01-31;168.35;168.45;168.1;170.4;166.85;168.25;168.187;1927278;324126501;3307
2019-01-30;168;168.1;168.05;168.5;166.4;167.95;167.655;1379782;231332826.4;3116
2019-01-29;168.35;168.45;166.6;168.85;166.55;168.25;168.154;1647363;277010566.7;3605
2019-01-28;166.6;166.7;168;168.1;166.25;166.4;166.816;1639435;273485515.5;3434
2019-01-25;167.55;167.65;166;168.1;165.5;167.8;167.571;1510086;253039463.6;3455
2019-01-24;164.7;164.8;166.3;166.6;164.2;164.9;165.052;1966610;324621140.3;4605
2019-01-23;165.9;166;166;167.5;164.85;166;166.065;1654520;274758863.2;3632
2019-01-22;167;167.1;167.45;169.15;166.5;167;167.337;1580356;264461564.8;3731
2019-01-21;168.05;168.2;168.1;168.2;166.2;167.95;167.586;1181393;197983437.1;2976
2019-01-18;167.15;167.25;165.6;167.75;165.15;167.75;167.205;2842941;475334688.6;6578
2019-01-17;163.95;164;162.05;164.75;161.15;164.3;163.453;1812182;296190768.7;4058
2019-01-16;161.75;161.85;160.8;162.9;160.45;162.15;161.813;1810945;293022955.1;4169
2019-01-15;160.3;160.4;160.4;161.35;159.1;160.25;160.313;1839698;294932500.2;4605
2019-01-14;158.9;159;159;160.45;157.9;159.15;159.134;1192078;189695089.9;2718
2019-01-11;159.25;159.35;160.35;160.55;158.2;159.25;159.207;1876997;298842649.6;3943
2019-01-10;159.25;159.35;160.1;160.55;158.35;159.45;159.258;1798896;286489962.3;3647
2019-01-09;161.55;161.65;162;163.15;160.85;161.7;161.754;1737924;281109335;3630
2019-01-08;160.8;160.9;160;162.15;159.15;161.25;160.897;1711103;275296680.2;3071
2019-01-07;159.45;159.5;160;160;156.75;159.8;159.194;2285425;363802546.3;4309
2019-01-04;157.95;158.05;154.85;158.45;154.7;158.25;157.465;1604819;252672430.4;3338
2019-01-03;154.6;154.7;155.3;156.5;154.3;154.45;154.826;1361773;210839050.3;2933
2019-01-02;155.95;156.05;156.45;156.95;153.9;156;155.682;1865388;290400598.9;4285
2018-12-28;157.65;157.7;156.55;159.05;156.55;158.15;158.103;1562176;246984149.1;2476
2018-12-27;155.75;155.85;157.9;158.95;155.15;155.85;156.439;1852903;289900287.6;4627
2018-12-21;156.75;156.9;157.85;158.25;155.9;157.45;157.326;3085623;485438036.8;6404
2018-12-20;158.8;158.85;159;159.45;157.9;158.35;158.627;1877521;297842127.9;4264
2018-12-19;160.15;160.2;159;160.95;157.85;160.5;160.238;2245625;359815180.8;4173
2018-12-18;159.5;159.6;159.75;160.7;159.05;159.25;159.536;2081418;332078642.9;4076
2018-12-17;160.45;160.7;161;163;159.25;160.25;160.507;2052746;329491997.8;4416
2018-12-14;162.85;163;164.8;165.2;162.85;163.15;163.537;1452472;237542937;3900
2018-12-13;165.4;165.5;167.7;168.6;165.1;165.6;166.248;1601331;266219870.1;3658
