Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-12-28;35.5;35.9;36.95;36.95;35.05;35.95;35.825;17784;637105.85;52
2018-12-27;35.3;35.95;36.05;37.95;35;35.95;35.824;16113;577232.75;57
2018-12-21;36;36.75;35;37;35;36.75;36.583;9161;335135.9;41
2018-12-20;34.7;35;35.75;36;34.4;35;34.766;18275;635349.2;30
2018-12-19;35.7;35.75;35.15;35.95;35;35.75;35.297;9819;346578.4;32
2018-12-18;35.15;35.75;37;37;35;35.85;35.592;27976;995729.55;58
2018-12-17;36.15;36.7;37.75;37.75;36.1;36.7;36.433;7720;281260.85;33
2018-12-14;37;37.4;37.3;37.45;36.85;37.45;36.997;8483;313849.1;19
2018-12-13;36.9;37.35;37.8;37.95;36.95;37.35;37.29;10590;394905;46
2018-12-12;37.25;37.65;37.85;37.9;36.2;37.5;36.973;22535;833427.15;73
2018-12-11;37.55;37.95;38.5;38.85;37;37.95;37.843;5609;212263.55;30
2018-12-10;37.8;38.75;37.15;38.9;37.15;38.55;37.857;4189;158583.65;13
2018-12-07;38.05;38.95;37.05;39.15;37.05;38.95;37.906;11476;435008;18
2018-12-06;37.15;37.7;38.95;38.95;37.05;37.1;37.721;3760;141830.55;40
2018-12-05;38.6;39;39.1;39.95;38.5;39.45;38.898;1739;67643.05;16
2018-12-04;39;39.85;39.5;40.1;39;39.95;39.469;13232;522251.45;37
2018-12-03;39.9;40;39.4;40.7;39.4;39.6;39.809;8004;318627;28
2018-11-30;39.45;39.95;40.8;40.8;39;39.4;39.618;6422;254423.5;20
2018-11-29;40;40.4;40.9;40.9;40;40;40.066;2882;115471.2;26
2018-11-28;40;40.9;39.95;40.9;39.6;40.9;39.842;6815;271520.9;22
2018-11-27;38.95;39.3;38.95;39.75;38;39.3;39.067;10954;427938.25;42
2018-11-26;38.65;39.9;39.75;40;37.1;39.65;38.831;9801;380584.3;42
2018-11-23;39.5;39.75;40.8;40.8;39;39.75;39.438;7577;298819.05;26
2018-11-22;39.1;39.55;40;40.7;38.65;39.1;39.219;6613;259357.8;18
2018-11-21;39.45;40.6;38.05;40.85;38;40;39.431;21198;835856.85;52
2018-11-20;37.6;39.65;40;40;38;39.6;39.686;107078;4249543;17
2018-11-19;40;40.1;40;40.05;37.75;40;39.935;5768;230343;17
2018-11-16;40.2;40.75;42;42;38.4;40.7;40.14;7095;284796.2;38
2018-11-15;40.15;41.15;42;42;36.95;41.2;40.823;6883;280984.65;43
2018-11-14;41.3;42.7;43.4;43.4;41;41.3;41.762;3957;165252.4;38
2018-11-13;43;43.4;43.8;43.8;43;43.4;43.485;425;18481;5
2018-11-12;43;43.6;43.4;43.9;43;43.4;43.386;1047;45424.6;8
2018-11-09;43;43.5;42.8;44;42.45;43;43.193;1191;51442.4;10
2018-11-08;43.4;43.45;43.45;43.45;43;43.4;43.399;3177;137877.2;10
2018-11-07;43.5;43.8;44.25;44.25;43.9;43.95;43.989;4450;195752.2;19
2018-11-06;43.5;43.75;43.25;43.95;43;43;43.464;7847;341061.7;26
2018-11-05;43.6;43.9;43;43.9;43;43.6;43.543;7037;306412.65;16
2018-11-02;43;43.9;43.4;43.9;43.4;43.9;43.441;653;28366.7;4
2018-11-01;42.5;43;43.5;43.5;42.05;43;42.924;10638;456627.1;25
2018-10-31;43.4;43.5;43.6;43.85;42.3;43.5;43.226;11687;505182.4;43
2018-10-30;42.1;43.45;43.3;44;41.95;43.5;42.894;13722;588591.45;49
2018-10-29;43.75;44;44.85;44.85;43.1;44;44.056;5752;253408.35;22
2018-10-26;44.05;44.85;44.95;45;43.1;44.85;44.732;1291;57749.2;16
2018-10-25;44;44.95;45.4;45.95;44;44.95;44.938;11469;515392.9;43
2018-10-24;45.35;46.6;47.05;47.5;45.1;46.8;46.932;1051;49325;18
2018-10-23;46.05;46.25;48.5;48.6;45.45;46.1;46.516;22476;1045497.95;99
2018-10-22;47.8;48.4;47.4;49;47;48.4;47.463;12079;573300.35;44
2018-10-19;47;47.35;48;48;46.6;47.4;47.185;3498;165053.9;17
2018-10-18;47.5;48.5;48;48.55;47.1;48.5;47.637;2184;104038.4;15
2018-10-17;48;48.7;47.5;48.7;47.5;48.7;47.875;1546;74014.8;10
2018-10-16;47;47.7;47.65;48.45;45.8;47.7;46.789;22757;1064765.4;53
2018-10-15;47.1;47.65;48.45;48.45;47.1;47.65;47.613;13263;631494.1;28
2018-10-12;47.15;48.9;45.05;49;45.05;49;47.008;12039;565925.1;40
2018-10-11;46.35;47.3;48;48;46.3;47.3;47.082;8538;401987.4;35
2018-10-10;48;48.5;48.05;48.95;48;48.5;48.32;3081;148874.55;14
2018-10-09;48;48.5;48.7;48.7;48;48.5;48.381;15227;736699.2;34
2018-10-08;48.7;48.75;48.75;49;48.7;48.7;48.717;10799;526090.65;44
2018-10-05;48.8;48.95;48.95;49;48.75;48.95;48.881;7383;360889.45;21
2018-10-04;48.8;49;49;49.35;48.9;48.95;49.018;4085;200238.95;17
2018-10-03;48.8;49.35;48.7;49.5;48.7;48.95;49.275;16740;824869.1;32
2018-10-02;48.75;49;49;49.05;48.1;48.75;48.722;11420;556404.35;40
2018-10-01;49;49.4;49.95;50;49;49;49.224;10244;504250.6;47
2018-09-28;49;49.5;49;49.5;49;49.5;49.388;3261;161053.75;13
