Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-12-28;101;101.5;101;102.5;99.2;101.5;100.265;10663;1069124.7;75
2018-12-27;97.4;98;100.5;101.5;98;98.2;99.284;5972;592923;81
2018-12-21;100;100.5;100;101.5;98;101;99.386;13928;1384244.6;88
2018-12-20;98.4;99.8;99.6;100.5;98.2;98.6;99.762;9792;976696.3;67
2018-12-19;99.6;100;101.5;102;99;99.8;100.36;13973;1402324.4;71
2018-12-18;98.4;100;100.5;100.5;97.6;100.5;98.405;4851;477361.5;59
2018-12-17;100;100.5;105;105;96.4;100.5;100.372;20456;2053216.7;157
2018-12-14;102;102.5;102;104;102;102.5;103.175;5065;522580;94
2018-12-13;101;102.5;102;104;101;101.5;102.424;4107;420657;61
2018-12-12;100.5;102.5;98.2;102.5;97.4;102;99.982;7618;761660.4;55
2018-12-11;97.6;98.4;96.4;98.6;96.4;97.6;97.699;3603;352010.6;38
2018-12-10;96.4;97.4;98.2;99.2;96.2;96.4;97.032;6637;644004.2;68
2018-12-07;96.4;97.6;96;99.8;96;97.6;96.977;8518;826053.2;97
2018-12-06;94.8;95.8;95;97.2;94.2;94.6;95.385;21574;2057842;152
2018-12-05;94;94.4;96;96;93.8;94;94.331;7490;706540;59
2018-12-04;95.6;96.4;95;97.6;94;96;95.07;6595;626986.6;54
2018-12-03;95;95.8;93.4;98.4;93.2;95;94.359;22876;2158559.6;167
2018-11-30;91.4;92;93.2;98.2;91.4;91.4;94.41;31880;3009773.8;128
2018-11-29;93.4;93.6;92.4;93.4;92.4;93.4;93.032;11507;1070517.2;38
2018-11-28;90.4;91.4;91;92.2;90.4;91;91.357;3157;288414;24
2018-11-27;90;91.2;91.8;92.2;91.2;91.2;91.741;387;35503.6;11
2018-11-26;91.8;92.2;89.8;92.2;89.8;91.8;91.19;5933;541028.8;48
2018-11-23;89.4;90;90.8;92.4;89;90;90.281;8259;745631.4;59
2018-11-22;91;91.4;92;92;90;91;90.653;5813;526968;47
2018-11-21;91.6;92;92;95;90;92;91.752;10415;955595.8;72
2018-11-20;90.6;91.6;95.2;95.2;90;91.6;91.341;18009;1644952.2;143
2018-11-19;95.2;97.6;98;99.2;95;95;97.667;11272;1100903.8;73
2018-11-16;98;99;99;101;97.6;98;99.05;13147;1302205;68
2018-11-15;98;98.6;100.5;101.5;96;98.6;98.869;8278;818437.8;66
2018-11-14;100.5;101.5;105;105;98.4;100.5;101.393;13931;1412500.8;111
2018-11-13;103;104.5;107.5;107.5;102;104;104.375;8996;938955.5;65
2018-11-12;108;108.5;106;110;106;108;107.811;8832;952189;45
2018-11-09;105;106.5;107;107.5;104;106;105.255;3307;348077.5;46
2018-11-08;107;107.5;109;110;107;107;108.125;3101;335297;45
2018-11-07;107.5;109;109.5;109.5;107.5;109;108.221;1757;190143.5;35
2018-11-06;107;108;108;108;105.5;107;106.818;4103;438275;58
2018-11-05;109;110;109;110.5;105;109;108.504;11556;1253876;71
2018-11-02;110;111;105.5;111;105.5;111;108.994;10481;1142364.5;88
2018-11-01;105;105.5;106.5;107;104.5;105;106.068;8674;920032.5;134
2018-10-31;106;106.5;106;106.5;104;106.5;105.636;6751;713148.5;56
2018-10-30;105.5;106;105;106.5;105;106;105.472;5092;537064.5;62
2018-10-29;104;105;105.5;106;102.5;105;104.158;11132;1159482.5;72
2018-10-26;103.5;104;106;106;102;104;103.543;8269;856196.5;58
2018-10-25;105;106.5;107.5;107.5;102;106.5;103.943;8580;891830;98
2018-10-24;107;107.5;108.5;109;105;108;107.657;10104;1087765;96
2018-10-23;106.5;107.5;103;108;103;108;105.723;43897;4640941;235
2018-10-22;100;101;100;102;100;101;101.019;2087;210826;43
2018-10-19;100;102;101;102;99;102;99.69;3719;370747;47
2018-10-18;100.5;101;102;102;99;100.5;100.437;5693;571790.2;64
2018-10-17;101.5;103;101;103;101;102.5;101.668;5958;605737.5;56
2018-10-16;101.5;102;98.2;103;98.2;101.5;99.743;5661;564643;48
2018-10-15;99.6;100;103;103;98;100;100.152;11830;1184802.2;104
2018-10-12;101.5;103;97.2;103.5;97.2;103;99.933;24659;2464253.3;120
2018-10-11;97.6;98.8;97.2;99.2;95.6;97.6;97.39;30390;2959684.6;188
2018-10-10;100;101;104.5;107.5;99.4;101.5;102.876;14323;1473496;101
2018-10-09;104;106;105.5;107.5;103.5;105.5;104.655;7226;756239.5;68
2018-10-08;107;107.5;111;111;103.5;107.5;106.243;11463;1217867.5;123
2018-10-05;112;113;113;113.5;111;111;112.265;7787;874206.5;56
2018-10-04;113.5;114;111.5;114.5;110;113.5;112.669;11088;1249275;85
2018-10-03;111;111.5;110.5;112;110.5;111;111.465;7288;812331;71
2018-10-02;110;111;109.5;111;109.5;110;110.399;5675;626512.5;55
2018-10-01;108.5;110;107;110;106.5;109.5;109.111;9450;1031097;137
2018-09-28;107;107.5;108.5;109;106;109;107.518;15539;1670716.5;63
2018-09-27;108.5;109;109.5;109.5;107;108.5;108.342;4179;452761.5;45
2018-09-26;106;107;108.5;110;105;106.5;108.051;5766;623021;70
2018-09-25;108;109.5;109.5;110;108;108;109.211;10329;1128040;72
2018-09-24;108;108.5;108;108.5;105.5;108;106.872;9971;1065620;77
2018-09-21;108;109;105;109;105;108;108.165;7601;822162;96
2018-09-20;104.5;105.5;104;105.5;103.5;105.5;104.275;10968;1143686.5;62
2018-09-19;104;104.5;105;108;104;105;105.444;15705;1656001.5;78
2018-09-18;103;103.5;104;104;103;103;103.452;4445;459845;54
2018-09-17;104;105;102.5;105;102.5;104;104.082;29613;3082166;75
2018-09-14;102.5;104;103;104;101;104;102.814;2549;262073.5;38
2018-09-13;103.5;104.5;100;104.5;100;103.5;102.743;15210;1562726;115
2018-09-12;99.4;99.8;98;100;98;100;98.932;7369;729028.8;59
2018-09-11;97;97.2;98;99;96.6;97.2;97.374;7103;691647.6;59
2018-09-10;98;99;97.2;98.4;97;98;97.46;5298;516342.6;34
2018-09-07;97;97.4;96.4;99;94.6;97.2;97.632;32972;3219126.2;132
2018-09-06;96.4;97;96.6;97;96.4;96.4;96.684;10883;1052208.2;48
2018-09-05;96.6;97.2;97;97.6;96.4;96.6;97.09;10488;1018279.4;45
2018-09-04;96.2;97;96.8;97;95.4;97;96.194;14395;1384714.4;62
2018-09-03;96;96.6;96.2;97.4;95.2;96.6;96.195;7617;732717.4;111
2018-08-31;95.2;96;95;96;94.8;95;95.032;6733;639784.6;58
2018-08-30;95.4;95.6;95.4;95.6;95;95.4;95.397;65584;6256508.2;31
2018-08-29;96;96.6;96;97;96;96.2;96.33;5321;512573.4;50
2018-08-28;96.2;97;97.8;97.8;95.6;96.2;96.39;5012;483107.2;37
2018-08-27;96;96.4;96.2;97;95.2;96.6;96.252;8807;847695.2;53
2018-08-24;95.4;96;97;97;95.4;96;96.203;4168;400973.4;46
2018-08-23;96.6;97;97;98;96.4;96.8;96.761;6060;586368.8;37
2018-08-22;96.8;97.8;98.6;98.8;96.6;98;97.542;9408;917673.8;59
2018-08-21;98;98.2;96.4;98.2;96.4;98.2;97.721;4963;484987.4;49
2018-08-20;96.2;96.6;98;98;96.2;96.2;97.111;3833;372226.2;47
2018-08-17;96.6;97.6;97.6;97.6;96;97.6;96.754;2243;217019.6;42
2018-08-16;96.2;97.2;97;97.2;95.8;97.2;96.654;3191;308423.2;32
2018-08-15;95.8;96.8;95.8;97.4;95.8;96.4;96.708;2657;256952.4;31
2018-08-14;96;97;95.8;97;95.8;97;96.664;7329;708453;52
2018-08-13;95.6;95.8;97.4;97.4;95.6;95.8;96.136;7426;713902.8;69
2018-08-10;97;97.4;95.8;97.2;94.6;97.2;95.845;10966;1051034.4;102
2018-08-09;94.6;95;94.8;95.6;94.6;94.6;94.969;1943;184525;34
2018-08-08;94.6;95.8;93;97.6;93;94.6;95.554;4208;402091.6;56
2018-08-07;92.4;93.6;91;93.6;90.4;93.6;91.849;3061;281149.2;38
2018-08-06;91.2;92;93.8;93.8;91;91.2;92.627;3839;355595.4;45
2018-08-03;94;94.8;92.6;95.4;92.6;94;94.774;2810;266315.6;33
2018-08-02;93;94;94.4;95.2;92;92.6;94.385;5358;505716.8;61
2018-08-01;94;94.2;92.6;94.8;92;94.2;93.391;14810;1383115.8;161
