Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-05-29;4.075;4.095;3.95;4.16;3.7;4.085;3.899;7476278;29155468.99;1531
2018-05-28;3.93;3.95;3.9;4.045;3.77;3.92;3.92;2919654;11444067.72;725
2018-05-25;3.92;3.935;4.35;4.435;3.905;3.91;4.049;12466422;50484347.19;3021
2018-05-24;4.355;4.37;5.03;5.13;4.335;4.35;4.628;9776568;45248636.67;2366
2018-05-23;4.905;4.92;5.04;5.05;4.835;4.89;4.941;5448460;26921881.78;1294
2018-05-22;5.09;5.12;5.17;5.24;5.05;5.12;5.139;5359640;27544184.68;1027
2018-05-21;5.12;5.14;5.12;5.23;5.02;5.13;5.13;5476413;28088308.96;1099
2018-05-18;5.06;5.07;5.02;5.14;4.94;5.07;5.028;7301969;36713229.2;1525
2018-05-17;4.995;5.01;4.8;5.08;4.795;5.01;4.951;8647229;42812650.44;1791
2018-05-16;4.74;4.75;4.695;4.79;4.605;4.765;4.715;6606045;31148999.17;1160
2018-05-15;4.74;4.755;4.48;4.775;4.465;4.75;4.663;8699098;40569354.62;1459
2018-05-14;4.45;4.47;4.505;4.525;4.38;4.455;4.433;4891908;21686063.3;838
2018-05-11;4.51;4.515;4.425;4.54;4.355;4.515;4.472;6383271;28546274.96;1075
2018-05-09;4.4;4.41;4.305;4.49;4.305;4.4;4.401;3622945;15943088.42;642
2018-05-08;4.125;4.15;4.4;4.475;4.115;4.14;4.285;5833497;24997176.85;1074
2018-05-07;4.47;4.485;4.275;4.485;4.275;4.46;4.406;2974458;13104043.4;524
2018-05-04;4.195;4.205;4.29;4.315;4.155;4.215;4.21;2629859;11072343.25;554
2018-05-03;4.255;4.26;4.36;4.385;4.22;4.275;4.302;2270606;9768521.31;418
2018-05-02;4.305;4.32;4.28;4.435;4.28;4.3;4.354;2221261;9671797.17;504
2018-04-30;4.295;4.315;4.37;4.37;4.22;4.28;4.291;1091824;4685138.87;307
2018-04-27;4.365;4.375;4.49;4.52;4.365;4.375;4.413;3614160;15954130.33;609
2018-04-26;4.485;4.5;4.375;4.58;4.29;4.495;4.469;5096701;22777260.64;863
2018-04-25;4.315;4.33;4.35;4.38;4.2;4.33;4.3;4056323;17443198.36;685
2018-04-24;4.42;4.43;4.43;4.645;4.37;4.42;4.493;5066009;22762001.01;778
2018-04-23;4.33;4.35;4.375;4.45;4.205;4.35;4.338;5003814;21708205.72;749
2018-04-20;4.385;4.4;4.385;4.49;4.275;4.4;4.419;6859452;30309090.45;1062
2018-04-19;4.355;4.37;4.15;4.485;4.15;4.385;4.326;7697839;33301116.4;1460
2018-04-18;4.17;4.19;3.875;4.195;3.875;4.16;4.053;3266333;13237772.93;695
2018-04-17;3.785;3.8;3.795;3.84;3.665;3.78;3.763;2350930;8846070.94;418
2018-04-16;3.79;3.805;3.64;3.86;3.64;3.785;3.776;3729281;14082828.65;824
2018-04-13;3.715;3.72;3.635;3.725;3.605;3.72;3.683;2635816;9706576.16;512
2018-04-12;3.595;3.6;3.63;3.7;3.58;3.635;3.637;2344269;8525590.09;459
2018-04-11;3.62;3.63;3.495;3.635;3.455;3.63;3.588;4342735;15583342.52;750
2018-04-10;3.47;3.485;3.37;3.5;3.37;3.5;3.451;2464265;8503172.44;497
2018-04-09;3.33;3.345;3.37;3.37;3.26;3.335;3.301;1755847;5796622.18;370
2018-04-06;3.375;3.39;3.41;3.465;3.32;3.375;3.375;2542813;8582840.45;575
2018-04-05;3.46;3.48;3.38;3.5;3.27;3.485;3.399;2687535;9134338.11;624
2018-04-04;3.28;3.3;3.365;3.4;3.205;3.26;3.287;2159420;7098349.76;541
2018-04-03;3.35;3.36;3.35;3.445;3.33;3.38;3.377;1688749;5704006;351
2018-03-29;3.425;3.44;3.445;3.475;3.4;3.42;3.426;715050;2449635.04;205
2018-03-28;3.44;3.45;3.49;3.565;3.405;3.445;3.449;1736743;5990228.28;488
2018-03-27;3.5;3.52;3.665;3.745;3.49;3.49;3.581;3247171;11628751.63;830
2018-03-26;3.64;3.655;3.785;3.805;3.615;3.66;3.726;2408774;8974785.45;583
2018-03-23;3.79;3.8;3.665;3.82;3.545;3.79;3.667;3323229;12183913.06;801
2018-03-22;3.67;3.685;3.905;3.965;3.65;3.685;3.814;4240982;16175103.04;1028
2018-03-21;3.885;3.9;3.895;3.925;3.765;3.91;3.837;3402684;13055425.67;743
2018-03-20;3.775;3.795;3.605;3.87;3.46;3.81;3.752;5228118;19615992.08;1381
2018-03-19;3.62;3.64;3.55;3.64;3.44;3.63;3.53;2932820;10352672.31;599
2018-03-16;3.51;3.515;3.47;3.53;3.415;3.525;3.474;956395;3322737.79;286
2018-03-15;3.45;3.455;3.565;3.58;3.42;3.43;3.479;1803900;6275429.66;436
2018-03-14;3.555;3.57;3.64;3.65;3.525;3.57;3.593;1530422;5498541.87;393
2018-03-13;3.61;3.645;3.65;3.695;3.575;3.65;3.637;2958582;10759279.16;628
2018-03-12;3.61;3.63;3.67;3.695;3.595;3.63;3.634;1294445;4704312.25;372
2018-03-09;3.62;3.635;3.62;3.645;3.565;3.635;3.606;1258646;4538121.01;378
2018-03-08;3.635;3.65;3.585;3.68;3.555;3.62;3.628;1667210;6047957.37;388
2018-03-07;3.62;3.64;3.6;3.64;3.485;3.64;3.572;3024982;10806355.69;634
2018-03-06;3.61;3.625;3.465;3.695;3.465;3.62;3.621;4847174;17552662.06;1134
2018-03-05;3.51;3.52;3.43;3.52;3.37;3.495;3.455;1990562;6876743.98;503
2018-03-02;3.375;3.38;3.325;3.445;3.325;3.385;3.38;1895075;6405479.65;417
2018-03-01;3.41;3.42;3.385;3.485;3.34;3.395;3.391;2751544;9331665.29;663
2018-02-28;3.44;3.45;3.555;3.555;3.425;3.455;3.488;3890120;13569192.3;857
2018-02-27;3.605;3.615;3.615;3.72;3.555;3.615;3.648;2092376;7632818.36;535
2018-02-26;3.58;3.595;3.68;3.72;3.5;3.605;3.606;3168237;11423508.8;728
2018-02-23;3.61;3.62;3.51;3.66;3.455;3.635;3.553;3081597;10948706.86;683
2018-02-22;3.47;3.49;3.48;3.505;3.37;3.5;3.436;2292710;7877001.95;515
2018-02-21;3.5;3.51;3.44;3.59;3.41;3.515;3.523;2605784;9180239.38;744
2018-02-20;3.525;3.535;3.795;3.8;3.335;3.525;3.491;10650927;37181049.5;2406
2018-02-19;3.705;3.715;3.48;3.76;3.33;3.71;3.589;9718445;34880188.18;2509
2018-02-16;3.27;3.29;3.42;3.43;3.2;3.255;3.302;4328477;14292050.38;953
2018-02-15;3.27;3.28;3.405;3.615;3.25;3.28;3.455;4725266;16326198.03;1120
2018-02-14;3.32;3.33;3.345;3.385;3.2;3.31;3.302;2776988;9170674.49;785
2018-02-13;3.335;3.345;3.465;3.54;3.32;3.335;3.398;3159731;10736950.71;953
2018-02-12;3.465;3.475;3.43;3.69;3.43;3.45;3.557;4438492;15786200.87;981
2018-02-09;3.41;3.425;3.545;3.61;3.4;3.405;3.496;4570426;15979761.5;1338
2018-02-08;3.68;3.69;3.75;3.935;3.665;3.665;3.776;5370263;20278701.23;1586
2018-02-07;3.825;3.84;3.705;4.01;3.705;3.84;3.839;5411652;20779214.56;1329
2018-02-06;3.63;3.64;3.47;3.745;3.45;3.63;3.634;8798947;31974127.55;2219
2018-02-05;3.93;3.945;4.2;4.2;3.92;3.955;4.042;5112770;20662833.8;1133
2018-02-02;4.27;4.285;4.45;4.605;4.21;4.3;4.38;4784536;20955894.02;1017
2018-02-01;4.42;4.435;4.155;4.45;4.155;4.41;4.366;4974941;21718447.62;979
2018-01-31;4.105;4.125;4.26;4.345;4.065;4.135;4.161;3436311;14297006.48;794
2018-01-30;4.185;4.21;4.42;4.48;4.14;4.2;4.284;5645197;24181635.46;1541
2018-01-29;4.46;4.48;4.655;4.7;4.45;4.485;4.551;2877214;13096018.03;713
2018-01-26;4.64;4.65;4.805;4.84;4.6;4.64;4.71;1894611;8922713.93;584
2018-01-25;4.785;4.8;4.83;4.97;4.75;4.795;4.861;4189226;20362983.22;1072
2018-01-24;4.73;4.74;4.75;4.805;4.67;4.755;4.75;3764137;17878773.7;818
2018-01-23;4.76;4.78;4.71;4.79;4.64;4.77;4.731;3596463;17016130.91;854
2018-01-22;4.665;4.675;4.56;4.725;4.54;4.685;4.655;2676203;12456534.97;738
2018-01-19;4.58;4.6;4.58;4.78;4.42;4.6;4.59;4625013;21230942.68;1138
2018-01-18;4.68;4.69;4.745;4.83;4.615;4.68;4.711;3503127;16500949.7;852
2018-01-17;4.64;4.665;4.62;4.73;4.35;4.645;4.533;6974830;31614958.48;1959
2018-01-16;4.625;4.65;4.94;4.99;4.62;4.63;4.858;9796344;47603777.82;2817
2018-01-15;4.84;4.855;4.475;4.955;4.43;4.86;4.658;8179842;38101594.43;2118
