Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2019-02-01;80.02;80.08;80.66;80.66;79.56;80.2;80.076;7675177;614550696.9;7622
2019-01-31;80.16;80.2;80.2;81.18;78.56;80.36;80.225;14523032;1165370036;11852
2019-01-30;79.94;79.98;80.5;80.86;79.46;80.08;80.072;5809954;465219074.6;6767
2019-01-29;80.36;80.4;79.2;80.54;79.02;80.22;80.004;10538102;843071265.8;8734
2019-01-28;79.16;79.22;81.08;81.1;79.02;79.02;79.636;11655676;928231910.5;12443
2019-01-25;81.28;81.32;81.68;82.48;79.78;81.08;81.101;30910498;2506923993;22258
2019-01-24;78.7;78.74;76.4;78.88;75.94;78.58;77.754;14314077;1112975031;14336
2019-01-23;76.46;76.5;75.78;77.1;75.78;76.52;76.438;9480743;724677692.3;8385
2019-01-22;76.24;76.28;76.1;76.52;75.66;76.42;76.351;6935133;529423076;5128
2019-01-21;76.28;76.32;77.02;77.04;75.96;76.2;76.304;4423351;337518244.4;4437
2019-01-18;76.9;76.94;76.38;77.42;76.3;77.08;77.137;10469271;807572443.1;9706
2019-01-17;75.86;75.9;75.9;76.3;75.28;75.9;75.75;7862914;595616934.6;7739
2019-01-16;75.46;75.52;76.16;76.74;75.46;75.76;75.986;6224643;473012945.4;5082
2019-01-15;75.4;75.42;75.7;76.08;74.94;75.52;75.431;8283639;624855035.9;8086
2019-01-14;75.4;75.42;75.24;76.46;74.96;75.48;75.723;8532352;646093923.8;7826
2019-01-11;76.32;76.36;78.5;78.7;76;76;76.731;14005248;1074794358;11361
2019-01-10;78.38;78.4;80.78;80.84;76.8;78.3;78.275;15762285;1233879054;16745
2019-01-09;81.3;81.36;79.6;81.5;79.52;81.46;80.993;9243872;748587303.2;8016
2019-01-08;78.94;79;78.52;79.18;77.7;78.96;78.557;8110316;636732781.6;6622
2019-01-07;78.1;78.14;77.52;78.28;77.46;78.12;77.986;5820809;453941816;5626
2019-01-04;76.76;76.8;75.22;77.1;75.22;76.76;76.429;6646606;507981004.4;6081
2019-01-03;75.06;75.12;76.5;76.84;74.7;74.96;75.434;6878200;518882251.8;6394
2019-01-02;77.1;77.14;77.5;77.5;76.02;77.14;76.887;6423142;493859504.5;6385
2018-12-28;77.72;77.76;76;78.2;76;77.92;77.637;9825138;762765851.1;6819
2018-12-27;75.18;75.22;77.96;78.14;74.9;75.4;76.183;8698916;661546143.6;8785
2018-12-21;77.54;77.58;78.7;78.84;77.28;77.94;77.917;18553570;1445622163;10654
2018-12-20;78.78;78.82;79.56;79.6;78.68;78.68;78.937;9109825;719159764.5;7256
2018-12-19;80.56;80.62;80.5;81.64;80.36;80.46;80.7;10138385;818183323.7;7017
2018-12-18;80.6;80.62;81.06;81.28;80.1;80.66;80.693;9362881;755478232.3;6930
2018-12-17;81.32;81.4;82;82.2;80.96;81.26;81.382;8232676;669938481.4;7002
2018-12-14;82.1;82.16;82.2;82.8;81.22;82.2;82.169;6731471;553131691.6;5958
2018-12-13;82.82;82.86;83.76;83.76;82.34;82.7;82.811;8412840;696660371;9206
2018-12-12;82.88;82.92;80.5;82.96;80.5;82.86;82.343;15552243;1280369018;14289
2018-12-11;80.16;80.22;79.52;80.94;79.28;80.3;80.131;11106339;890077514.2;10245
2018-12-10;78.66;78.72;78.52;79.68;78.02;78.66;78.961;11242498;887726715.7;9751
2018-12-07;79.28;79.32;78.34;80.68;77.6;79.2;79.387;12518354;993810803.1;11123
2018-12-06;76.7;76.74;74.94;77.14;74.76;76.6;76.459;12370733;945723583.4;10703
2018-12-05;75.32;75.34;76.12;76.78;75.24;75.24;75.619;5090745;384985264.2;4859
2018-12-04;76.96;77;78.2;78.56;76.8;76.8;77.159;8495875;655557359.7;6627
2018-12-03;78.64;78.68;78.6;79.3;78.02;78.64;78.63;8469705;665953175.7;7997
2018-11-30;76.02;76.06;75.9;76.86;75.54;75.92;76.156;10748223;818649680;7397
2018-11-29;75.84;75.86;76.74;77.16;75.76;75.88;76.237;6795355;518159576.4;5965
2018-11-28;75.84;75.88;76.06;76.38;75.22;75.92;75.862;4956288;375993009;4706
2018-11-27;75.4;75.44;76.42;77.4;75.16;75.38;75.895;5989991;454650861.9;5556
2018-11-26;76.42;76.46;76.26;76.74;75.72;76.42;76.28;7762184;592083868.3;7368
2018-11-23;75.76;75.8;73.84;76.1;73.66;75.98;75.326;9338632;703402568.3;9171
2018-11-22;73.1;73.14;73.9;74.28;73.06;73.12;73.509;5259028;386588194.7;5402
2018-11-21;74.06;74.1;74;74.46;73.54;74.24;74.122;8093544;599897850.5;7198
2018-11-20;73.64;73.68;75;75.3;73;73.78;74.013;10498563;777033518;10173
2018-11-19;75.82;75.88;77.14;77.8;75.8;75.92;76.639;7650718;586667047.1;6616
2018-11-16;76.68;76.72;76.6;77.38;76.46;76.96;76.967;6632710;510503754.4;5976
2018-11-15;76.38;76.4;76.72;77.38;75.7;76.46;76.662;9837434;754072644.3;9658
2018-11-14;77.58;77.64;80.66;80.66;77.3;77.64;78.393;10560396;827984136.9;9162
2018-11-13;80.9;80.94;80.5;81.02;79.9;81;80.565;7993512;643928107;7244
2018-11-12;80.36;80.4;82;82.36;80.3;80.3;80.85;7751824;626857447;6093
2018-11-09;81.72;81.76;81.48;82.22;81.14;81.84;81.845;6096533;498969167.5;6659
2018-11-08;81.66;81.7;83;83;80.4;81.7;81.656;11405962;931362501.1;10603
2018-11-07;81.8;81.84;81;81.94;80.82;81.74;81.398;7947060;646857400.6;6975
2018-11-06;80.74;80.78;81.5;81.5;79.88;80.92;80.773;9021950;728724152.2;8016
2018-11-05;81.04;81.08;81.1;81.56;80.4;81.06;81.058;8795844;712970213.3;6935
2018-11-02;80.82;80.86;81.3;81.42;80.46;81;80.86;5410113;437455209;4536
2018-11-01;80.04;80.06;79.24;80.26;78.84;80.06;79.496;11631431;924642534.4;10524
2018-10-31;79.5;79.54;79.3;80.18;78.52;79.78;79.465;15468059;1229157832;11519
2018-10-30;79.22;79.26;79.2;80.02;78.28;79.24;79.106;7806039;617513038.7;7243
2018-10-29;78.94;78.98;78.86;79.7;78.6;79.06;79.176;9160802;725314549.2;8530
2018-10-26;78.58;78.62;79.5;79.92;78.04;78.7;78.798;12095605;953108967.8;9740
2018-10-25;79.42;79.44;80.64;81.16;78.76;79.5;79.802;12781348;1020008993;10856
2018-10-24;81.38;81.44;82.5;82.72;81.34;81.5;81.9;8854790;725224033.2;8175
2018-10-23;81.92;81.96;82.9;83.28;81.24;81.8;81.947;9944291;814907879;10386
2018-10-22;83.62;83.66;84.96;85.22;83.34;83.66;84.058;11958858;1002954273;10712
2018-10-19;85;85.06;83.5;85.66;83.18;84.94;84.688;20876676;1767983196;21199
2018-10-18;83.18;83.22;81.62;83.92;78.24;82.82;81.728;33242772;2716694650;34536
2018-10-17;78.02;78.08;78;78.32;76.26;78;77.617;10899324;845906373.3;10784
2018-10-16;76.78;76.82;75.06;77.02;74.24;76.9;76.035;12390731;942128597.4;11786
2018-10-15;73.72;73.76;74.32;74.6;72.82;73.84;73.919;10512012;777041499.9;9484
2018-10-12;74.06;74.1;75.24;75.58;73.82;73.86;74.412;10769939;801438273.6;10118
2018-10-11;74.64;74.7;76.84;76.9;74.02;74.58;75.09;14513704;1089825957;14576
2018-10-10;77.48;77.52;80;80;77.18;77.44;78.023;8956065;698792961.6;7073
2018-10-09;79.52;79.56;78.6;80.18;78.12;79.62;79.28;9118906;722926688.8;7772
2018-10-08;77.9;77.92;78.8;78.86;77.76;77.92;78.087;4632167;361713541.7;4691
2018-10-05;78.62;78.68;80.4;81.02;78.36;78.8;79.432;7078798;562261068.9;6448
2018-10-04;80.58;80.6;80.3;80.7;79.02;80.62;80.337;8340814;670029307.6;7005
2018-10-03;80.42;80.46;79.54;81.04;79.54;80.3;80.369;9171823;737153991.6;7043
2018-10-02;79.4;79.44;79.6;79.62;78.5;79.48;79.138;7335588;580406039.4;5368
2018-10-01;79.54;79.56;79.42;79.82;79.04;79.62;79.617;6930265;551757111.7;5940
2018-09-28;79.08;79.12;79.84;79.98;78.68;78.88;79.143;7374691;583599107.3;5540
2018-09-27;79.82;79.84;79.08;79.94;78.5;79.76;79.448;5904590;469099380.4;5577
2018-09-26;79.44;79.48;80;80;79.16;79.5;79.53;5900636;469276934.7;5891
2018-09-25;80;80.04;78.96;80.42;78.46;80.08;79.844;8067969;643913310.6;7518
2018-09-24;78.78;78.82;77.6;79.16;77.6;78.8;78.621;6110683;478858016.2;6206
2018-09-21;77.52;77.56;77.2;78.1;76.2;77.62;77.471;11421881;884849530;8586
2018-09-20;77.02;77.04;78;78.7;76.8;77.06;77.441;8393732;650033648.2;7151
2018-09-19;77.84;77.88;78.1;79.06;77.42;77.86;78.208;7122723;557212097.6;6903
2018-09-18;77.56;77.6;76.84;77.74;76.52;77.74;77.247;7718878;596188834.3;6733
2018-09-17;76.94;76.96;78.1;78.28;76.92;77;77.434;5623963;435750630.4;4036
2018-09-14;78.28;78.32;78.04;78.38;77.42;78.22;77.993;4457936;347677066.4;3782
2018-09-13;77.78;77.82;76.6;78.5;76.1;77.66;77.803;7665791;596370497;6948
2018-09-12;76.42;76.46;78;78.46;76.28;76.5;77.235;6041195;466619300.7;6208
