Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-12-28;10.12;10.168;10.07;10.38;9.92;10.126;10.082;4945475;49858353.47;2375
2018-12-27;9.989;10.03;10.276;10.78;9.973;9.999;10.279;5086100;52214546.89;2853
2018-12-21;10.202;10.238;9.95;10.376;9.719;10.376;10.061;10018813;100796185;4042
2018-12-20;10.042;10.062;10.3;10.46;9.923;10;10.137;6339148;64256982.36;2849
2018-12-19;10.316;10.356;10.728;10.946;10.278;10.316;10.557;5573693;58840637.38;3035
2018-12-18;10.78;10.812;11.25;11.586;10.65;10.72;11.116;8084360;89873855.76;3806
2018-12-17;11.28;11.298;10.568;11.55;10.34;11.312;11.065;9529857;105443333.6;4457
2018-12-14;10.51;10.53;10.208;10.918;9.92;10.574;10.4;8108857;84324641.09;4179
2018-12-13;10.25;10.262;10.512;10.776;10.12;10.22;10.435;7711823;80434640.3;3717
2018-12-12;10.472;10.5;10.73;10.77;10.298;10.5;10.459;6637393;69423507.1;3462
2018-12-11;10.616;10.648;10.704;11.034;10.59;10.61;10.829;5837462;63212919.51;3126
2018-12-10;10.63;10.656;11.208;11.4;10.612;10.616;10.88;8742091;95113611.23;3599
2018-12-07;11.364;11.37;11.54;12.074;11.25;11.368;11.747;9054700;106362125.5;3723
2018-12-06;11.318;11.334;11.89;11.95;11.314;11.314;11.646;6254410;72835697.5;3117
2018-12-05;11.998;12.022;11.75;12.322;11.57;12.056;12.028;4869934;58577014.85;2757
2018-12-04;11.942;12.016;12;12.16;11.75;11.974;11.976;4640762;55576301.75;2270
2018-12-03;11.98;12.01;12.3;12.5;11.872;12;12.122;6409337;77691442.43;3362
2018-11-30;11.99;12.036;12.242;12.55;11.84;11.97;12.098;14418700;174431653;4837
2018-11-29;12.21;12.248;12.588;12.87;12.128;12.242;12.505;15687496;196163511.6;6649
2018-11-28;12.378;12.4;11.41;12.65;11.41;12.394;12.116;18397495;222901474.3;7902
