Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2019-02-01;140.9;140.96;139.02;141.42;136.62;141;140.05;6958143;974810257.5;12358
2019-01-31;139.8;139.86;132.96;141.78;131.26;140.6;137.633;14950851;2057155458;33172
2019-01-30;137.64;137.72;138.54;138.84;136.04;137.6;137.094;3774113;517399658.9;9370
2019-01-29;138.66;138.74;133.44;139.12;133.24;138.94;137.848;5030157;693377257.4;10220
2019-01-28;133.02;133.06;134.24;137.58;133;133.2;134.695;4238450;570953334;9172
2019-01-25;134.2;134.26;134.5;136.12;133.12;134.24;134.381;2714842;364815525.3;6085
2019-01-24;133.4;133.44;133.14;134.9;132.8;134.16;134.055;2690922;360722919.1;5488
2019-01-23;133.54;133.58;134.4;134.46;132.5;133.14;133.437;3634048;484925306.7;6560
2019-01-22;134.5;134.54;133.48;136;133.24;134.86;134.866;1873591;252835615.5;4118
2019-01-21;134.64;134.68;136.68;136.68;134.24;134.56;134.766;2395736;322905606.3;4153
2019-01-18;136.16;136.2;134.22;137.46;134.2;136.74;136.581;4719543;644595040.4;9490
2019-01-17;133.98;134.04;133.5;134.22;132.2;134.1;133.612;2555506;341434335.3;6029
2019-01-16;133.24;133.3;131.2;135.16;131.14;133.7;133.614;3552398;474638653;6118
2019-01-15;131.16;131.22;132.2;133.4;130.5;131.18;131.48;3622707;476319995.3;8272
2019-01-14;131.9;131.96;134.06;136.26;131.9;132.06;133.029;5114118;680392419.5;10488
2019-01-11;134.72;134.8;135.42;136.24;133.14;134.84;134.7;2535736;341563899.4;5560
2019-01-10;134.88;134.9;133.46;137.26;133;135.18;135.271;4967667;671982207.8;11020
2019-01-09;134.24;134.28;134;135.1;132.36;134.48;133.801;3557171;475949069.3;7803
2019-01-08;133.52;133.58;130.6;135.34;129.88;133.9;133.82;5367076;718202575.2;11945
2019-01-07;130.44;130.46;130.5;131.12;128.74;130.58;129.925;3067542;398543942.3;6795
2019-01-04;130.24;130.3;126.8;130.88;126.8;130.48;129.55;4189054;542630589.5;8843
2019-01-03;126.52;126.56;127.24;130.26;126.14;126.2;127.526;4714876;601305509.2;11042
2019-01-02;127.1;127.14;125.5;129.16;123.5;127.06;127.128;4743927;603089378.8;11324
2018-12-28;126.34;126.38;125.2;127.16;125.2;126.02;126.267;6398445;807918419.6;12440
2018-12-27;124.9;124.94;128.76;129.5;124.12;125.02;126.018;7077249;896318455;16463
2018-12-21;128.76;128.78;130.34;131.28;128;128.6;128.946;10791790;1391580270;17315
2018-12-20;132.1;132.14;134.94;135;131.74;131.74;132.866;5703475;757854825;11182
2018-12-19;136.22;136.26;137.6;139.1;135.6;136.12;137.176;6220711;853431869.4;12134
2018-12-18;138.64;138.72;142;143.5;138.4;138.62;140.379;7288700;1023275489;13935
2018-12-17;142.9;142.96;156.12;156.78;139.42;142.8;144.681;13433029;1943805969;34508
2018-12-14;156.16;156.2;153;156.98;151.5;156.12;154.977;4988086;773006544.5;11485
2018-12-13;154.92;154.98;158.24;159.04;154.66;155.2;156.493;4188813;655483714.3;9701
2018-12-12;157.92;157.94;162;162;156.04;158.24;158.026;6893748;1089390897;14816
2018-12-11;163.28;163.32;158.58;164.88;158.58;163.12;163.315;5394279;881037683.6;10396
2018-12-10;158.32;158.36;158;159.86;157.16;158.1;158.393;3600144;570236100.8;8660
2018-12-07;158.68;158.74;157.24;161.1;157.02;159.04;159.348;4134962;658893014.8;8803
2018-12-06;157.4;157.44;162;162.2;157.08;157.08;158.494;3870148;613424723.5;9065
2018-12-05;163.04;163.08;162.58;164.74;161.2;162.74;163.017;2916745;475478804.7;7149
2018-12-04;163.58;163.6;163.82;165.4;163.2;163.28;163.883;3625908;594179173.1;7814
2018-12-03;163.74;163.78;170;170;163.3;164.26;165.075;4255135;702365761.4;10058
2018-11-30;167.66;167.7;168.9;170.36;167.62;167.64;168.286;5263765;885941936.6;7745
2018-11-29;168.9;168.96;168.66;170.16;167.2;169.56;169.144;3690739;624379345.9;7351
2018-11-28;167.96;168;167.08;168.3;165.02;168.3;167.53;3599068;602944538.4;7751
2018-11-27;167.06;167.1;165;167.9;164.84;167.08;166.829;3729895;622255371.2;8645
2018-11-26;164.72;164.78;166.5;167.32;163.64;165;165.345;3755783;620977522;9730
2018-11-23;166.42;166.48;165.78;167.52;165.32;166.66;166.429;2703943;450012949.9;7159
2018-11-22;166.2;166.24;165.5;167.2;164.16;166.2;166.11;4634505;769812692.6;12041
2018-11-21;165;165.04;159.54;165.9;159.4;165.48;163.639;6452640;1055884054;13664
2018-11-20;158.96;159.04;159.56;162.44;158.44;159.44;159.978;5483706;877307151.9;16729
2018-11-19;160.5;160.52;159.74;161.74;159.4;160.52;160.624;4793824;769791267.5;12373
2018-11-16;159.42;159.48;156.6;160.24;155.62;159.34;158.596;5115714;811299671.6;12867
2018-11-15;155.98;156.04;156.7;157.28;153.46;156;155.515;5090117;791308600.4;11776
2018-11-14;155.62;155.68;153.78;157.2;153.3;156;155.656;3472048;540436683.3;8219
2018-11-13;154.52;154.58;152.48;154.84;151.96;154.38;153.795;3491688;537002560.8;8118
2018-11-12;152.8;152.86;155.42;156.1;152.32;152.58;153.97;4726839;726435608.1;12067
2018-11-09;159.1;159.14;159.4;160.44;158.5;159.04;159.405;3828854;610348534;8240
2018-11-08;159.14;159.2;160.68;161.08;158.58;159.2;159.741;2838910;453493203.4;7534
2018-11-07;159.64;159.7;156.3;160.68;156.3;159.94;158.957;5364542;852703801.9;11486
2018-11-06;156;156.06;160;160;155.54;156.02;156.283;4691322;733141637.3;8698
2018-11-05;159.98;160.04;159.52;161.16;157.6;160.14;159.785;3711841;593104212.5;9871
2018-11-02;160.14;160.18;160.12;160.7;158.4;160.34;159.632;1732717;276582437.7;4020
2018-11-01;158.64;158.72;161.58;161.58;157.56;158.82;159.108;4582462;728943711.1;8867
2018-10-31;161.48;161.52;161.74;163.68;160.56;161.74;161.958;4452050;721049330.3;8518
2018-10-30;160.54;160.58;158.68;161.06;157.9;160.4;159.74;3188424;509328673.1;7169
2018-10-29;158.4;158.46;156.26;160.32;155.76;158.68;158.524;3357100;532219749.5;7883
2018-10-26;156.28;156.34;158.84;158.96;155.44;156.26;156.72;4329469;678520656.6;9744
