Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2019-02-01;402;402.2;398;402.5;397.3;402.5;400.895;1085605;435200464;6397
2019-01-31;397.3;397.4;398;401.6;394.9;397.1;397.774;1342830;534097220;6445
2019-01-30;396.6;396.8;395;397.3;392.7;397;395.817;712388;281972498.6;4448
2019-01-29;394.3;394.5;390.5;395.4;388.8;393.9;392.118;1289391;505595086.1;7443
2019-01-28;390.6;390.8;398.3;398.3;389.4;390.2;391.842;1553796;608823106.8;10643
2019-01-25;399.1;399.3;401.3;404.7;398.5;398.5;400.745;1291963;517711056.4;7937
2019-01-24;398.8;399.1;395;400.3;395;399.7;398.571;814880;324785218.1;5040
2019-01-23;399.6;399.8;399;401;396.2;400.3;399.556;866687;346288140.2;4558
2019-01-22;400;400.1;399;402.4;398.3;399.7;400.312;621471;248699973;3486
2019-01-21;401.2;401.4;401;402;398.5;401.2;400.665;621590;248964452.3;4205
2019-01-18;399.5;399.7;396.2;401;395.1;401;398.851;1294028;516075135.6;6951
2019-01-17;391.7;391.9;390.6;393.2;388.7;392.4;392.026;789176;309386118.2;4373
2019-01-16;391.6;391.8;394.5;395.4;389.3;392.6;392.268;1067825;418876732;4635
2019-01-15;392.4;392.6;394.9;397.2;390.8;392.4;393.117;708257;278436052.8;4216
2019-01-14;392.8;393;392.6;393.4;390.6;392.3;392.067;803161;314901085.7;4443
2019-01-11;394.5;394.7;395;397.3;392.5;394;394.548;942073;371732992.9;4794
2019-01-10;394.3;394.5;389.5;395.4;388.5;394.1;392.972;903196;354922174.3;5080
2019-01-09;391.3;391.5;392.1;393.5;389.3;391.4;391.401;1073001;419833252.9;5371
2019-01-08;390.3;390.5;384.6;392;384;390.4;389.274;1207908;470197243.9;6826
2019-01-07;382.8;383;382.3;384.6;380.7;383.1;382.561;825952;315976352.8;4659
2019-01-04;381.1;381.3;372.6;383.1;372.4;381.4;378.822;1016745;385165641.8;5403
2019-01-03;370.8;371;371.1;374;370;371;371.834;838112;311651143.5;5394
2019-01-02;373.3;373.5;371;374.9;366.1;373.5;370.906;1056045;391684200.6;7097
