Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2019-02-01;82.36;82.39;82.54;82.73;81.86;82.5;82.404;6408705;528100725.9;7679
2019-01-31;82.45;82.48;82.68;83.04;81.4;82.17;82.217;9451087;777028462.6;8855
2019-01-30;82.53;82.56;82.25;82.64;81.76;82.64;82.403;7089350;584176555;7576
2019-01-29;81.98;81.99;82.58;82.58;81.41;82.12;81.954;10588073;867890568.4;8828
2019-01-28;82.66;82.7;83.01;83.27;82.34;82.45;82.693;6186430;511590024;7566
2019-01-25;83.19;83.2;83.46;83.48;82.97;83.01;83.162;6447951;536226145.7;7223
2019-01-24;82.93;82.95;82.43;83.48;82.1;82.94;82.915;8452729;700853166.5;9374
2019-01-23;82.1;82.13;81.57;82.52;81.31;82;82.047;6042411;495754856.1;6046
2019-01-22;81.65;81.67;81.3;82.02;80.63;81.75;81.617;5875495;479503593.9;6785
2019-01-21;82.01;82.03;82.2;82.57;81.74;81.95;82.047;5120995;420047616.7;6614
2019-01-18;81.82;81.84;81.32;82.59;81.19;82;82.073;9090909;746111830.1;9108
2019-01-17;80.81;80.83;80.67;81.04;80.05;80.86;80.719;6512442;525680958.6;8527
2019-01-16;80.5;80.52;80.08;80.8;79.61;80.72;80.392;8854563;711831969.7;8951
2019-01-15;79.94;79.96;80.72;80.9;79.4;79.79;79.907;7943473;634751510.1;8354
2019-01-14;80.06;80.09;79.65;80.21;79.58;80.02;79.929;6631886;530078228;6382
2019-01-11;79.69;79.71;80.2;80.5;79.39;79.77;79.703;8140867;648842770.1;8472
2019-01-10;79.92;79.95;79.71;80.21;79.02;79.96;79.703;8846236;705071494.9;10415
2019-01-09;79.7;79.73;79.6;80.33;78.93;79.73;79.683;8644401;688817604.9;9703
2019-01-08;79.17;79.2;78.71;79.73;78.52;79.09;79.279;9356325;741762737;10600
2019-01-07;78.36;78.39;79.3;79.67;77.87;78.38;78.657;13834756;1088290101;15689
2019-01-04;78.73;78.74;76.6;78.94;75.91;78.83;78.052;10355681;808241640.7;10966
2019-01-03;75.97;75.99;75.58;76.86;75.5;76.09;76.179;9578711;729697496.3;10453
2019-01-02;75.95;75.98;74.16;76.07;72.97;75.75;74.703;12543994;937068113;14537
2018-12-28;74.62;74.65;74.73;76;74.39;74.58;74.796;33590238;2512515673;16459
2018-12-27;74.36;74.38;76.72;77.1;74.08;74.43;75.313;14523008;1103241411;15093
2018-12-21;76.14;76.18;76.16;76.97;75.66;76.3;76.259;25088711;1913163361;19671
2018-12-20;76.36;76.37;77.72;77.86;76.07;76.07;76.545;10328754;790697682.4;10911
2018-12-19;78.11;78.13;78.3;79.14;77.84;78.07;78.272;9545863;747849893.2;7922
2018-12-18;78.21;78.22;78.4;78.73;78.08;78.23;78.352;8392565;657572376.8;8350
2018-12-17;78.73;78.77;79.03;79.81;78.49;78.49;78.964;8650503;683076080.2;8164
2018-12-14;78.69;78.71;78.06;79.17;77.33;78.8;78.55;9021455;708612271.6;9796
2018-12-13;78.33;78.36;79.6;79.8;78.06;78.15;78.502;9147646;718124997.3;9708
2018-12-12;79.25;79.27;77.84;79.62;77.58;79.3;79.097;10028444;793220277.5;10035
2018-12-11;77.67;77.71;77.5;79.02;77.35;77.45;77.899;10415050;811339513;8082
2018-12-10;77.13;77.16;78;78.14;76.99;76.99;77.448;9122540;706548726.8;9851
2018-12-07;78.36;78.38;78.09;78.97;77.57;78.27;78.332;10976417;859799986.7;11288
2018-12-06;77.5;77.53;78.7;78.87;77.31;77.31;77.86;10320359;803582738;10515
2018-12-05;79.36;79.38;79.65;79.99;78.97;79.14;79.419;8620882;684666640.1;8523
2018-12-04;80.05;80.07;81.81;81.99;79.77;80.1;80.477;11791293;948699398.3;9993
2018-12-03;82.14;82.16;82.21;82.81;81.85;82.02;82.252;13070353;1075270216;12665
2018-11-30;81.12;81.15;81.8;81.88;80.54;80.79;80.888;29935644;2421516154;14418
2018-11-29;81.45;81.46;81.46;82.39;80.94;81.68;81.568;10341010;843454819.3;9573
2018-11-28;81.1;81.12;82.81;82.99;81.01;81.2;81.458;11351014;924605086;11175
2018-11-27;82.55;82.57;82.84;83.81;82.26;82.6;82.862;8654722;717136927.4;8589
2018-11-26;82.43;82.46;81.46;82.49;81.41;82.42;82.19;8914113;732631185;8793
2018-11-23;80.88;80.92;80.05;81.3;79.95;80.91;80.89;7276877;588625452;7476
2018-11-22;79.96;79.99;80.05;80.77;79.73;79.79;80.064;9635461;771408930.6;9523
2018-11-21;79.76;79.78;79.08;80;79;79.78;79.533;10614591;844203934.9;9742
2018-11-20;78.79;78.84;81;81.28;78.53;78.84;79.393;13788561;1094678634;13216
2018-11-19;81.36;81.39;82.5;82.83;81.24;81.24;81.777;7412373;606686910.9;7248
2018-11-16;82.26;82.29;82.38;82.9;81.89;82.38;82.373;5993484;493704539.7;7144
2018-11-15;82.26;82.29;83.06;83.4;81.54;82.3;82.164;9506497;781006122.4;8672
2018-11-14;83;83.04;83.7;84.04;82.77;82.93;83.274;10613590;883835980.1;9646
2018-11-13;83.7;83.72;83.27;84.18;82.36;83.52;83.387;17258237;1439071793;16331
2018-11-12;80.89;80.92;81;81.4;80.46;80.85;80.942;6861814;555398209.4;6709
2018-11-09;80.53;80.58;80.53;80.99;79.91;80.7;80.543;6114162;492476072.4;6461
2018-11-08;80.73;80.74;81.32;81.41;80.63;80.63;80.869;7583964;613318767.6;7584
2018-11-07;80.8;80.83;81.15;81.94;80.75;80.75;81.17;9357402;759575056.7;9570
2018-11-06;80.73;80.74;81.18;81.48;80.18;80.92;80.759;7971025;643728522.5;7675
2018-11-05;80.61;80.65;79.88;81.03;79.44;80.47;80.361;9422498;757199443.6;8961
2018-11-02;79.74;79.77;80.3;80.39;79.55;79.88;79.815;4806313;383615860.3;5215
2018-11-01;79.55;79.57;79.6;80.24;78.7;79.66;79.606;11041408;878998042;11509
2018-10-31;79.38;79.4;81.07;81.52;79.38;79.59;80.204;17029068;1366037272;11369
2018-10-30;80.03;80.05;78.7;80.11;78.41;80.11;79.57;9242562;735403245.2;9124
2018-10-29;78.31;78.33;78.54;79.42;78.3;78.59;78.862;14648082;1155201869;15451
2018-10-26;77.88;77.9;79.42;79.75;77.42;78.13;78.253;17638993;1380310898;17093
2018-10-25;79.45;79.47;81.26;81.47;79.32;79.41;80.078;16980248;1359784885;14912
2018-10-24;81.28;81.32;80.68;83.24;80.1;81.37;81.804;15446282;1263623400;16123
2018-10-23;83.2;83.21;82.98;83.97;82.55;83.14;83.075;12714428;1056330382;12211
2018-10-22;83.5;83.53;84.8;85.3;83.28;83.28;83.92;13427132;1127752239;11088
2018-10-19;84.33;84.35;82.85;84.56;82.17;84.19;83.437;19859001;1656938866;19744
2018-10-18;83;83.01;85.14;85.35;82.92;83.15;83.68;18968601;1587304419;19832
2018-10-17;85.38;85.4;87.5;87.5;85.22;85.45;85.955;24511349;2105513719;19225
2018-10-16;89.2;89.22;87.7;89.31;87.51;89.3;88.765;10420887;925000774.5;9750
2018-10-15;87.49;87.51;86.93;87.7;86.16;87.7;87.282;7871095;687000370.7;7963
2018-10-12;86.99;87;88;88.24;86.71;86.71;87.38;9368119;818600974.3;9479
2018-10-11;87.69;87.71;88.25;89.11;87.28;87.47;88.059;12143852;1069379444;12479
2018-10-10;89.69;89.74;91.6;92.1;89.47;89.61;90.424;17394079;1572971294;13706
2018-10-09;90.87;90.89;90.5;91.15;89.5;91;90.474;10499557;949666580.5;10515
2018-10-08;91.34;91.38;91.85;91.97;90.97;91.5;91.326;6029801;550674596.4;6635
2018-10-05;91.83;91.85;91.32;92.12;90.91;91.82;91.663;8423604;772124547;7544
2018-10-04;91.32;91.36;92.05;93.29;90.8;91.65;91.559;20722132;1897302857;22953
2018-10-03;92.4;92.43;95.58;96.54;92.18;92.4;93.968;19504213;1833507552;18509
2018-10-02;94.95;94.98;97.5;97.91;94.63;95.18;95.995;16934727;1625847941;17231
2018-10-01;98.57;98.63;96.8;98.98;96.8;98.21;97.987;8136534;797276621.2;9309
2018-09-28;97.24;97.26;96.74;97.38;95.62;96.86;96.627;10323540;997527196;8839
2018-09-27;97.76;97.78;96.8;97.96;96.14;97.66;97.317;7279724;708422627.8;6853
2018-09-26;97.52;97.54;96.74;97.58;96.18;97.52;97.193;5181185;503569013.3;4671
2018-09-25;96.3;96.34;96.56;96.98;96.14;96.52;96.5;4229147;408825526.8;4661
2018-09-24;96.56;96.6;96.56;96.92;95.88;96.6;96.484;3621071;349315600.5;3854
2018-09-21;96.84;96.86;96.12;97.16;96.12;96.94;96.805;9171349;887818390;7100
2018-09-20;95.82;95.86;94.5;96.44;94.46;95.76;95.742;10041590;961265549.4;8760
2018-09-19;94.3;94.32;95.22;95.9;94.14;94.44;94.567;10541236;997308761.3;10115
2018-09-18;94.86;94.9;96.5;96.66;94.24;95.1;95.272;9568182;911640684.7;8688
2018-09-17;96.62;96.66;97;97.26;96.4;96.6;96.817;5126202;496335492.9;5741
2018-09-14;96.92;96.94;96.9;97.08;96.32;97.08;96.822;5675033;549425922.2;4918
2018-09-13;96.46;96.5;96.16;96.5;95.86;96.24;96.227;6486566;624183790.6;5932
2018-09-12;95.86;95.9;96.4;96.6;95.5;96.06;95.977;6382500;612490751.1;6290
2018-09-11;96.16;96.2;97.08;97.08;95.96;96.32;96.274;6724439;647385614;6364
2018-09-10;96.9;96.94;96.4;97.52;96.2;96.76;96.919;7346205;711978092.5;6611
2018-09-07;96.44;96.48;97.7;97.9;96.04;96.78;96.83;8794301;851350633;6747
2018-09-06;97.98;98;97.38;99.02;97.3;97.7;98.203;10845796;1065136461;9663
2018-09-05;97.5;97.54;96.86;97.66;96.76;97.08;97.201;9460367;919562341.1;7994
2018-09-04;97.04;97.08;97.76;97.76;96.04;97.06;96.752;10970308;1061383204;11172
2018-09-03;97.52;97.54;98.8;98.82;97.32;97.76;97.867;7442956;728406762.6;7827
2018-08-31;98.62;98.64;98.8;99.34;98.34;98.8;98.849;10788103;1066396426;7747
2018-08-30;98.48;98.5;98.3;98.96;98.02;98.52;98.477;6520918;642164625.2;6522
2018-08-29;98.76;98.78;98;98.96;97.98;98.64;98.589;7512118;740613581.9;6138
2018-08-28;98;98.02;97.94;98.36;97.66;98;98.006;6743809;660932978.9;6607
2018-08-27;97.56;97.6;96.78;97.64;96.78;97.64;97.443;6518086;635138849.3;5684
2018-08-24;96.48;96.5;95.98;96.8;95.9;96.42;96.439;4911449;473657201.1;5251
2018-08-23;96.12;96.14;95.68;96.7;95.62;95.94;96.08;8381356;805311654.2;7337
2018-08-22;95.8;95.86;94.3;96.04;94.26;95.68;95.512;8329896;795469127.7;9483
2018-08-21;94.26;94.32;94.04;94.48;93.82;94.28;94.232;5066888;477464174.2;4187
2018-08-20;93.76;93.8;93.96;94.2;93.62;93.9;93.925;4532351;425530525.4;4473
2018-08-17;93.7;93.72;93.36;93.86;92.66;93.76;93.459;6383651;596607193.8;5233
2018-08-16;93.06;93.1;92.42;93.12;91.6;93.08;92.742;5799967;537890590.9;5290
2018-08-15;91.94;91.98;91.66;92.44;91.22;91.96;91.931;5330416;490030461.5;5047
2018-08-14;91.4;91.42;92.14;92.24;91;91.4;91.462;4844786;443136783.1;4482
2018-08-13;92.26;92.28;92.5;92.62;91.54;92.02;92.007;5303879;487995674.2;5322
2018-08-10;92.72;92.76;93.2;93.28;92.28;92.62;92.733;4640426;430321917.5;4377
2018-08-09;93.64;93.66;92.98;93.66;92.46;93.64;93.336;3817494;356303344.1;3709
2018-08-08;92.76;92.78;92.76;93.08;92.44;92.74;92.743;4025347;373318494.9;4512
2018-08-07;92.76;92.8;93.08;93.08;92.42;92.76;92.763;3485387;323313996.5;3558
2018-08-06;92.72;92.78;92.96;92.96;92.04;92.62;92.493;3453700;319442117.7;4215
2018-08-03;92.9;92.92;92.9;93.38;92.56;92.84;92.924;4563340;424044306.8;4953
2018-08-02;92.8;92.84;93.1;93.1;92.02;92.56;92.538;5138069;475467709;4925
2018-08-01;93.24;93.28;93.8;94.18;92.9;93.14;93.321;5509905;514070167.2;5437
2018-07-31;93.74;93.76;93.36;94.02;93.36;93.52;93.622;5965711;558522498;6179
2018-07-30;93.46;93.48;93.54;93.68;93.16;93.44;93.47;3098364;289605504.4;4077
2018-07-27;93.78;93.8;93.64;94.14;93.4;93.62;93.734;4662434;437034279.3;4384
2018-07-26;93.28;93.3;93.88;94.04;93.1;93.3;93.384;5328919;497634991.4;5415
2018-07-25;93.36;93.4;93.6;94.64;93.18;93.18;93.779;7666097;718967413.8;8692
2018-07-24;93.68;93.74;92;93.72;91.7;93.58;93.261;10085128;940510303.7;8489
2018-07-23;91.7;91.72;91.2;91.74;90.62;91.68;91.407;7638406;697110650.1;6729
2018-07-20;91.28;91.32;89.74;91.42;89.1;91.02;90.525;10193682;922795384.7;11177
2018-07-19;89.58;89.62;89.6;90.2;88.76;89.44;89.596;15662612;1403157900;13813
2018-07-18;87.08;87.12;87.8;88.2;86.1;87;86.958;7508538;652926911.6;7540
2018-07-17;87.72;87.76;87.7;88.68;87.6;87.62;87.935;10255858;901908497.7;9080
2018-07-16;86.82;86.86;86.88;87.16;86.04;86.88;86.765;4552637;395010887.8;4862
2018-07-13;86.82;86.86;86.14;86.94;86.06;86.76;86.626;5123238;443799962.8;4505
2018-07-12;85.94;85.96;85.56;86.18;84.94;85.94;85.802;4320584;370712335.9;4284
2018-07-11;85.46;85.48;86.3;86.32;85.12;85.28;85.462;5524695;472156714;5008
2018-07-10;86.4;86.44;86.52;87.02;86.1;86.52;86.567;4687784;405805730.6;4392
2018-07-09;86.2;86.24;85.8;86.42;85.64;86.36;86.128;4277379;368396380.2;4208
2018-07-06;85.5;85.54;86.12;86.38;84.78;85.7;85.568;5273401;451224413.7;4749
2018-07-05;85.82;85.84;85.02;86.22;84.86;85.92;85.75;6152965;527644820.7;5725
2018-07-04;85.16;85.2;84.74;85.74;84.36;85.06;85.175;4116299;350610073;3725
2018-07-03;84.74;84.78;85.58;85.82;84.44;84.9;85.12;5940148;505625177.4;5658
2018-07-02;85.12;85.14;85.84;86;84.48;85.24;85.039;5760664;489878582.1;6352
2018-06-29;86.24;86.26;86.2;86.46;85.58;86.28;86.11;9061301;780257227.1;6216
2018-06-28;85.58;85.62;85.36;85.74;84.6;85.58;85.258;6291560;536405885.3;6066
2018-06-27;85.42;85.44;84.84;85.78;84;85.5;84.951;5448955;462891802.1;5809
2018-06-26;85.04;85.08;85.12;85.58;84.8;85.06;85.113;4668820;397370078.9;5374
2018-06-25;85;85.04;84.9;85.9;84.44;85.12;85.148;6941547;591065469.3;6606
2018-06-21;85;85.02;86.2;86.22;84.72;84.92;85.218;7523067;641096873;7394
2018-06-20;86.36;86.4;85.42;86.98;85.22;86.2;86.222;11686490;1007596833;9834
2018-06-19;85.34;85.4;83;85.6;82.92;85.38;84.646;12620382;1066869801;10150
2018-06-18;83.38;83.42;84.1;84.32;83.2;83.64;83.658;8730804;731195264.5;9753
2018-06-15;84.34;84.38;85.54;85.54;83.7;84.1;84.241;13604121;1146026187;9791
2018-06-14;85.76;85.78;84.52;85.9;84.18;85.62;85.183;11908586;1013960296;8668
2018-06-13;84.58;84.62;85.42;85.52;84.32;84.54;84.66;8315966;704051369.7;7402
2018-06-12;85.44;85.48;85.94;85.94;85.08;85.34;85.402;5808480;496056721;5987
2018-06-11;85.42;85.44;85.08;85.56;84.22;85.4;85.038;9695850;824167138.8;9061
2018-06-08;84.52;84.56;84.56;85.1;84.08;84.54;84.536;8581165;725317858.2;7982
2018-06-07;85.02;85.08;86.5;86.56;84.58;85.04;85.249;13585144;1160120019;11132
2018-06-05;84.98;85;86;86.18;84.78;84.88;85.263;8054143;686321147.8;6212
2018-06-04;86;86.04;86.56;86.82;85.62;86.02;86.275;8063948;695716972;7991
2018-06-01;85.74;85.78;85.9;86.6;84.94;85.9;85.974;7360980;632873182.7;7490
2018-05-31;84.48;84.52;85.74;85.94;84.42;84.8;85.092;10115465;860787720.3;9016
2018-05-30;85.1;85.14;85.5;85.56;84.5;85.24;84.988;8543198;726058479.8;8475
2018-05-29;85.48;85.52;86.2;86.52;84.4;85.32;85.505;11267815;963503707.2;13122
2018-05-28;86.82;86.86;87.8;87.94;86.22;86.62;86.835;5020516;435951351.6;5174
2018-05-25;87.14;87.16;87.26;87.62;86.8;87.1;87.196;8675759;756519261.9;8393
2018-05-24;86.88;86.92;88.5;88.94;86.56;86.88;87.531;10154861;888510597.4;8874
2018-05-23;88.26;88.28;89.5;89.56;88.02;88.28;88.406;7969896;704650415.4;7194
2018-05-22;89.8;89.84;88.5;90.14;87.54;89.8;89.185;11185935;997513616.5;9972
2018-05-21;87.86;87.9;88.9;89.02;87.76;87.96;88.216;8028127;709190618.8;6669
2018-05-18;88.36;88.4;88.9;89.54;88.3;88.58;88.845;8615097;765400525.1;8410
2018-05-17;89.24;89.26;88.58;89.64;88.44;89.32;89.104;10663936;949528477.2;6553
2018-05-16;88.48;88.52;90.84;90.84;88.32;88.66;88.887;11101148;986802467.3;9662
2018-05-15;91;91.04;90.48;91.08;89.96;91;90.645;7622073;690976352;7154
2018-05-14;90.3;90.34;91.02;91.52;90;90.32;90.558;7743189;701224196.8;7706
2018-05-11;91.28;91.32;90.8;91.54;89.76;91.28;90.879;12092538;1098819221;10185
2018-05-09;90.88;90.9;88.5;90.96;88.48;90.64;90.243;8399535;757214359.4;6862
2018-05-08;88.7;88.72;89.26;89.26;87.78;88.76;88.427;9773817;864271432.3;9061
2018-05-07;89.34;89.36;88.38;89.36;87.42;89.04;88.304;7745561;683965408.1;7058
2018-05-04;88.12;88.16;87.84;88.48;87.6;88.16;88.042;8834871;777834603.6;8960
2018-05-03;88;88.04;89.5;89.54;87.84;87.88;88.566;9368042;830610488.8;8179
2018-05-02;89.5;89.52;89.5;89.6;88.66;89.56;89.252;14550287;1298537721;13122
2018-04-30;89.3;89.32;90.32;90.56;89.22;89.38;89.677;5534530;496332361.2;5438
2018-04-27;90.86;90.88;89.3;90.96;89.22;90.74;90.354;11243533;1015796179;10666
2018-04-26;89.16;89.18;87.22;89.24;86.7;89.2;88.368;15901380;1405163444;12920
2018-04-25;87.44;87.48;87;87.72;85.62;87.72;86.834;16591075;1441244804;15053
