Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-03-01;1.38;1.389;1.379;1.39;1.36;1.38;1.371;900728;1234878.43;170
2018-02-28;1.383;1.399;1.4;1.4;1.374;1.384;1.388;798796;1108924.79;141
2018-02-27;1.39;1.393;1.41;1.41;1.374;1.393;1.395;700817;977318.48;141
2018-02-26;1.405;1.41;1.402;1.44;1.401;1.409;1.415;522390;739299.67;138
2018-02-23;1.412;1.425;1.411;1.438;1.4;1.4;1.418;386123;547555.04;156
2018-02-22;1.41;1.436;1.401;1.438;1.375;1.415;1.4;439991;616165.3;146
2018-02-21;1.4;1.407;1.407;1.416;1.39;1.403;1.397;651200;909541.26;157
2018-02-20;1.411;1.42;1.44;1.45;1.407;1.416;1.426;595261;848701.19;161
2018-02-19;1.44;1.449;1.45;1.47;1.43;1.44;1.446;547469;791533.97;159
2018-02-16;1.437;1.447;1.455;1.455;1.422;1.447;1.44;544873;784377.16;173
2018-02-15;1.41;1.448;1.46;1.486;1.378;1.43;1.435;1323211;1898690.21;355
2018-02-14;1.411;1.435;1.37;1.44;1.37;1.424;1.419;1535071;2177712.33;260
2018-02-13;1.356;1.37;1.39;1.42;1.352;1.356;1.379;1110698;1531835.01;295
2018-02-12;1.385;1.399;1.39;1.44;1.38;1.392;1.419;887083;1258881.83;239
2018-02-09;1.367;1.389;1.379;1.409;1.34;1.377;1.38;919481;1268382.22;231
2018-02-08;1.38;1.39;1.475;1.475;1.361;1.38;1.4;2326485;3255896.82;326
2018-02-07;1.46;1.463;1.42;1.473;1.4;1.463;1.441;979426;1411566.28;311
2018-02-06;1.38;1.394;1.379;1.4;1.31;1.38;1.366;2646621;3614153.39;655
2018-02-05;1.451;1.46;1.524;1.524;1.431;1.451;1.456;1241978;1808159.09;324
2018-02-02;1.497;1.504;1.561;1.586;1.47;1.492;1.509;1869281;2820097.12;482
2018-02-01;1.562;1.57;1.572;1.594;1.56;1.562;1.568;1219448;1912352.05;391
2018-01-31;1.6;1.603;1.639;1.639;1.575;1.603;1.601;1144783;1833238.75;319
2018-01-30;1.606;1.624;1.634;1.638;1.6;1.615;1.622;796718;1292073.73;238
2018-01-29;1.63;1.632;1.603;1.635;1.6;1.63;1.614;1322228;2133889.52;275
2018-01-26;1.603;1.617;1.65;1.66;1.602;1.61;1.617;896706;1449860.92;261
2018-01-25;1.642;1.65;1.68;1.68;1.56;1.65;1.622;4055960;6579272.7;838
2018-01-24;1.712;1.725;1.744;1.745;1.706;1.719;1.724;991493;1709172.04;303
2018-01-23;1.731;1.732;1.8;1.8;1.715;1.73;1.751;1726170;3022950.95;438
2018-01-22;1.759;1.765;1.795;1.795;1.72;1.76;1.76;4714508;8297266.75;855
2018-01-19;1.715;1.73;1.611;1.788;1.6;1.71;1.715;3776472;6476584.23;615
2018-01-18;1.612;1.62;1.624;1.645;1.601;1.615;1.617;1256740;2032603.82;292
2018-01-17;1.624;1.639;1.647;1.647;1.581;1.624;1.602;2466539;3951603.91;419
2018-01-16;1.63;1.65;1.706;1.709;1.625;1.64;1.666;2865992;4773953.22;776
2018-01-15;1.684;1.7;1.639;1.83;1.621;1.7;1.708;10675360;18230414.44;2153
2018-01-12;1.474;1.498;1.494;1.515;1.47;1.474;1.49;585742;872438.55;199
2018-01-11;1.494;1.513;1.54;1.546;1.491;1.494;1.514;561734;850303.1;260
2018-01-10;1.527;1.545;1.549;1.598;1.52;1.54;1.547;2170626;3357866.54;514
2018-01-09;1.501;1.505;1.5;1.52;1.475;1.51;1.499;959649;1438433.48;267
2018-01-08;1.51;1.527;1.515;1.532;1.47;1.5;1.496;1813723;2712826.78;443
2018-01-05;1.521;1.532;1.561;1.57;1.49;1.52;1.519;2692576;4089154.15;455
2018-01-04;1.55;1.562;1.396;1.62;1.385;1.55;1.529;6904371;10556948.41;1261
2018-01-03;1.392;1.395;1.5;1.5;1.365;1.396;1.423;2770283;3942645.81;586
2018-01-02;1.476;1.489;1.32;1.539;1.32;1.48;1.423;4721067;6719254.37;828
2017-12-29;1.31;1.32;1.26;1.32;1.26;1.32;1.292;3230442;4173580.49;536
2017-12-28;1.26;1.27;1.25;1.27;1.24;1.26;1.255;1775110;2227645.1;375
2017-12-27;1.25;1.26;1.27;1.29;1.25;1.25;1.259;1149404;1447038.06;324
2017-12-22;1.27;1.28;1.3;1.3;1.27;1.28;1.285;1279239;1643245.36;303
2017-12-21;1.28;1.3;1.3;1.3;1.27;1.28;1.282;870090;1115186.51;244
2017-12-20;1.28;1.3;1.32;1.33;1.27;1.29;1.304;1363638;1778739.13;381
2017-12-19;1.27;1.29;1.28;1.31;1.21;1.3;1.258;2582636;3249497.5;510
2017-12-18;1.27;1.28;1.34;1.35;1.26;1.28;1.29;3115693;4020290.99;643
2017-12-15;1.33;1.34;1.37;1.37;1.3;1.34;1.326;1450583;1923513;392
2017-12-14;1.35;1.36;1.33;1.36;1.33;1.36;1.344;1005767;1352198.6;336
2017-12-13;1.33;1.35;1.39;1.4;1.33;1.33;1.351;3333544;4504030.53;618
2017-12-12;1.38;1.4;1.39;1.41;1.38;1.39;1.39;696163;967310.42;235
2017-12-11;1.38;1.4;1.41;1.42;1.38;1.38;1.395;610276;851256.33;219
2017-12-08;1.4;1.42;1.4;1.42;1.37;1.42;1.386;1387067;1922482.96;273
2017-12-07;1.4;1.42;1.42;1.43;1.38;1.4;1.407;1111157;1563166.26;248
2017-12-06;1.41;1.43;1.43;1.46;1.4;1.42;1.413;1067176;1508112.46;300
2017-12-05;1.39;1.42;1.47;1.49;1.4;1.42;1.44;1873594;2698078.5;399
2017-12-04;1.48;1.49;1.5;1.5;1.47;1.49;1.487;789298;1173683.25;214
2017-12-01;1.49;1.5;1.51;1.52;1.48;1.5;1.496;713907;1067649.71;204
2017-11-30;1.49;1.5;1.5;1.51;1.48;1.5;1.492;1018794;1520308.25;249
2017-11-29;1.5;1.51;1.53;1.54;1.5;1.51;1.511;1079226;1631094.78;253
2017-11-28;1.53;1.54;1.52;1.56;1.51;1.54;1.539;994372;1529878.86;229
2017-11-27;1.52;1.53;1.54;1.55;1.52;1.52;1.531;896581;1372665.11;230
2017-11-24;1.53;1.54;1.54;1.58;1.53;1.53;1.552;753383;1169530.39;219
2017-11-23;1.54;1.56;1.52;1.62;1.51;1.55;1.55;2296146;3558156.78;447
2017-11-22;1.51;1.53;1.52;1.54;1.51;1.53;1.52;1215624;1847850.91;235
2017-11-21;1.5;1.51;1.54;1.54;1.5;1.51;1.512;851801;1288273.53;265
2017-11-20;1.53;1.54;1.51;1.54;1.51;1.54;1.526;595864;909443.93;179
2017-11-17;1.53;1.54;1.55;1.55;1.51;1.52;1.533;1803685;2765338.03;341
2017-11-16;1.52;1.53;1.52;1.53;1.5;1.53;1.516;519910;787903.52;160
2017-11-15;1.51;1.52;1.48;1.56;1.48;1.52;1.522;2025952;3082862.24;395
2017-11-14;1.48;1.49;1.45;1.56;1.42;1.47;1.496;2506906;3749068.57;593
2017-11-13;1.5;1.51;1.56;1.56;1.47;1.51;1.499;2890488;4331425.77;508
2017-11-10;1.55;1.57;1.61;1.62;1.52;1.56;1.562;1911343;2985476.06;434
2017-11-09;1.59;1.6;1.67;1.67;1.59;1.59;1.624;1685222;2735950.02;421
2017-11-08;1.63;1.67;1.62;1.66;1.59;1.66;1.639;2335933;3828284.14;478
2017-11-07;1.58;1.6;1.56;1.67;1.54;1.59;1.614;2924551;4719882.23;630
2017-11-06;1.53;1.54;1.53;1.57;1.52;1.55;1.541;2372761;3655661.2;614
2017-11-03;1.57;1.58;1.6;1.63;1.53;1.57;1.58;1480353;2338351.89;374
2017-11-02;1.6;1.61;1.71;1.71;1.59;1.59;1.632;3282709;5358424.73;632
2017-11-01;1.7;1.71;1.8;1.81;1.65;1.7;1.733;10353875;17947275.12;1537
2017-10-31;1.7;1.71;1.49;1.84;1.47;1.7;1.713;37724321;64602842.04;5411
2017-10-30;1.48;1.49;1.54;1.54;1.45;1.47;1.488;5866776;8731664.74;1130
