Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-05-29;9.47;9.52;9.05;9.63;9.05;9.59;9.316;131970;1229451.1;157
2018-05-28;8.84;8.92;9.13;9.14;8.75;8.91;8.935;272951;2438890.78;205
2018-05-25;9.22;9.25;9.87;9.87;9.1;9.25;9.343;515403;4815499.62;426
2018-05-24;9.92;9.98;10.02;10.18;9.85;9.92;9.948;185734;1847616.87;154
2018-05-23;9.98;10.08;10.3;10.3;9.98;10.04;10.147;158684;1610231.4;133
2018-05-22;10.42;10.5;10.16;10.54;10.16;10.34;10.417;247788;2581225.04;190
2018-05-21;10.16;10.22;10.22;10.58;10;10.18;10.365;176034;1824579.26;156
2018-05-18;10.24;10.32;10.28;10.42;10.2;10.2;10.304;159584;1644320.5;152
2018-05-17;10.24;10.34;10.12;10.44;10.12;10.3;10.325;431322;4453298.94;248
2018-05-16;10.08;10.16;10.08;10.2;9.94;10.04;10.059;163629;1645977.58;113
2018-05-15;10.12;10.16;10;10.36;9.88;10.12;10.086;369566;3727314.85;267
2018-05-14;10;10.04;9.71;10.12;9.55;10;9.893;346820;3430901.18;293
2018-05-11;9.72;9.75;9.68;9.75;9.6;9.75;9.668;259361;2507596.43;199
2018-05-09;9.56;9.6;9.47;9.66;9.47;9.57;9.607;185817;1785146.63;106
2018-05-08;9.35;9.38;9.74;9.74;9.3;9.3;9.57;1136887;10880292.39;490
2018-05-07;9.9;9.92;9.66;9.93;9.55;9.91;9.738;1099327;10704890.89;509
2018-05-04;9.43;9.48;9.2;9.5;8.8;9.36;9.203;247133;2274292.63;262
2018-05-03;9.2;9.26;9.43;9.43;8.68;9.18;9.013;943955;8507553.58;505
2018-05-02;9.52;9.55;9.46;9.54;9.36;9.49;9.45;647559;6119184.9;381
2018-04-30;9.15;9.16;9.24;9.32;9.05;9.15;9.191;32742;300934.58;53
2018-04-27;9.25;9.32;8.9;9.5;8.77;9.34;9.062;491241;4451661.01;408
2018-04-26;8.86;8.94;8.74;8.95;8.74;8.94;8.883;404805;3596021.2;249
2018-04-25;8.53;8.58;8.5;8.62;8.32;8.47;8.423;179907;1515345.71;175
2018-04-24;8.52;8.57;8.61;8.66;8.49;8.52;8.589;282660;2427839.67;171
2018-04-23;8.59;8.64;8.53;8.6;8.36;8.58;8.463;343456;2906539.82;178
2018-04-20;8.53;8.63;8.67;8.67;8.26;8.63;8.537;135280;1154891.65;148
2018-04-19;8.79;8.84;8.51;8.85;8.45;8.79;8.629;488423;4214355.26;366
2018-04-18;8.53;8.6;8.01;8.67;8.01;8.57;8.31;536157;4455385.34;320
2018-04-17;7.93;8.06;7.98;8.06;7.72;7.94;7.896;314252;2481226.32;234
2018-04-16;8.03;8.05;8;8.06;7.88;8.05;7.965;127975;1019310.39;116
2018-04-13;8.01;8.05;8.02;8.1;7.96;8.05;8.039;389852;3134110.45;235
2018-04-12;7.95;7.99;8.05;8.05;7.88;7.95;7.969;134908;1075102.22;125
2018-04-11;8.05;8.09;7.74;8.15;7.68;8.1;7.906;511459;4043581.48;375
2018-04-10;7.61;7.63;7.5;7.67;7.39;7.55;7.478;112527;841504.33;106
2018-04-09;7.46;7.55;7.5;7.56;7.36;7.5;7.502;95253;714599;74
2018-04-06;7.53;7.58;7.46;7.66;7.46;7.53;7.567;250603;1896233.67;173
2018-04-05;7.47;7.5;7.2;7.51;7.2;7.45;7.327;302032;2213046.52;290
2018-04-04;7.08;7.18;7.08;7.19;7.02;7.19;7.105;232478;1651854.82;207
2018-04-03;6.81;6.84;6.79;7;6.77;6.8;6.854;96937;664417.43;74
2018-03-29;6.79;6.88;6.88;6.9;6.8;6.8;6.865;31230;214406.86;26
2018-03-28;6.88;6.92;7.07;7.07;6.86;6.88;6.981;69974;488462.64;76
2018-03-27;7.09;7.1;7.01;7.1;6.96;7.05;7.068;108439;766421.49;92
2018-03-26;6.91;7;6.97;7.11;6.9;7.01;7.026;269695;1894929.51;197
2018-03-23;6.82;6.87;6.81;6.94;6.78;6.88;6.838;46101;315237.58;45
2018-03-22;6.82;6.9;7.1;7.1;6.81;6.85;6.905;105805;730567.63;94
2018-03-21;7.05;7.09;6.76;7.1;6.76;7.03;6.981;164632;1149230.66;160
2018-03-20;6.78;6.84;6.78;6.87;6.76;6.78;6.782;73566;498935.31;61
2018-03-19;6.78;6.83;6.97;6.98;6.78;6.78;6.883;29596;203721.33;41
2018-03-16;6.93;6.98;6.79;6.93;6.79;6.93;6.848;61588;421754.85;51
2018-03-15;6.78;6.8;6.84;6.88;6.77;6.78;6.802;51889;352953.31;62
2018-03-14;6.83;6.9;6.84;6.91;6.76;6.9;6.862;51844;355735.38;49
2018-03-13;6.78;6.84;6.85;6.85;6.77;6.84;6.807;50579;344297.85;61
2018-03-12;6.81;6.82;6.85;7.02;6.76;6.81;6.82;90995;620567.2;89
2018-03-09;6.95;7.01;6.94;7.04;6.94;6.95;7.001;37886;265239.41;30
2018-03-08;6.95;7;6.95;7.07;6.75;6.97;6.944;105714;734033.65;129
2018-03-07;6.81;6.87;6.81;6.87;6.75;6.87;6.804;64667;440005.04;53
