Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2019-02-01;145.15;145.2;144.5;145.4;143.85;145.4;144.85;2159568;312813776.1;3262
2019-01-31;144.2;144.25;146.2;147.35;143.8;144.3;144.78;8543150;1236412832;7924
2019-01-30;145;145.1;145.65;146.75;144.8;145.3;145.467;3972008;577834015.7;6243
2019-01-29;146.05;146.1;144;146.5;142.35;145.85;145.373;4521982;657271204.7;9331
2019-01-28;143.8;143.85;143.4;145.1;141.9;143.4;143.592;4147603;595551682.6;8902
2019-01-25;143.1;143.15;141;143.7;140.95;143.5;142.868;3280681;468671399;5907
2019-01-24;140.6;140.65;138.9;140.75;137.85;140.35;139.889;3234162;452413540.6;6206
2019-01-23;138.6;138.7;139.75;139.75;138.05;138.5;138.866;2612752;362833011.3;5777
2019-01-22;140;140.1;142.6;143.5;139.25;140.25;140.846;3454504;486549178.7;6859
2019-01-21;141.15;141.25;142;142;136.05;141.4;139.981;5121411;716552966.4;10544
2019-01-18;138.6;138.7;136.75;139.25;136.75;139.25;138.488;5141818;711986375.7;9155
2019-01-17;135.75;135.85;134.2;136;133.55;135.65;135.101;2611291;352714502.6;4775
2019-01-16;135;135.15;133.75;136.15;133.4;135.15;135.065;5446952;736429343.5;5304
2019-01-15;133.8;133.9;134.55;136.75;132.95;133.65;134.452;3577293;481007985.4;6123
2019-01-14;133.95;134;133.3;134.5;132.55;134;133.697;2353179;314613300.7;4429
2019-01-11;134.6;134.7;134.05;135.05;133.15;134.5;134.129;2205760;295854674.6;4207
2019-01-10;133.9;134;134;134.7;131.6;134;133.793;3620624;484408348.9;5549
2019-01-09;135.75;135.8;134.6;137.1;133.85;135.85;136.006;3252926;442413086.6;6405
2019-01-08;134.4;134.5;132.4;135.65;132.25;134.5;134.468;4506345;605848331.1;8894
2019-01-07;131;131.05;130.25;131.05;129.35;131;130.605;2463987;321799140.7;4704
2019-01-04;129.7;129.75;123.3;129.7;123.3;129.6;127.836;3068481;392245294.9;5616
2019-01-03;122.8;122.9;124.85;125.7;122.55;122.7;123.823;2540169;314551673.5;5843
2019-01-02;125.65;125.75;125.5;126.35;123.15;125.75;125.051;2401099;300261310.8;5411
2018-12-28;126.25;126.35;125.3;127.55;125.3;126.35;126.596;2172716;275056317.2;3233
2018-12-27;124.75;124.8;125.15;126.7;123.9;124.85;124.902;3480959;437948273.8;6308
2018-12-21;124.85;124.95;125.2;126.7;124.65;124.85;125.255;4621627;578906984.4;7703
2018-12-20;126.1;126.2;125.95;126.9;124.55;125.75;125.77;3123121;392787251.2;5665
2018-12-19;127.25;127.35;127.55;128.75;126.75;127.4;127.533;3161209;403113765.6;4554
2018-12-18;128.25;128.35;126.7;129.5;126.3;128.3;128.5;3174274;407922532.4;5598
2018-12-17;127.7;127.85;128.6;129.1;126.55;127.3;127.551;2809393;358336698.8;5209
2018-12-14;128.3;128.35;127.8;130.1;127.2;128.4;128.55;3151853;404991282.1;6142
2018-12-13;129.3;129.35;129.5;129.9;127.9;129.35;129.127;3285150;424190203.6;5885
2018-12-12;128.7;128.8;126.65;129.3;126.05;129.05;128.639;3997221;514197767.6;7250
2018-12-11;126.1;126.2;123.55;126.95;123.5;126.2;125.633;2980472;374447225.9;5406
2018-12-10;123.05;123.15;125.1;125.5;123.05;123.05;123.966;3560191;441346252.5;6758
2018-12-07;126.35;126.45;126.1;128.2;126.1;126.35;126.953;3458032;439010478.5;6156
2018-12-06;126.65;126.7;131;131.35;126.1;126.1;127.061;4474758;568585642.5;7817
2018-12-05;132.75;132.85;134;134.8;132.55;132.6;133.278;2013166;268325898.7;4422
2018-12-04;135.4;135.45;136.05;136.5;134.9;135.35;135.645;2932393;397768870.9;5249
2018-12-03;136.4;136.45;140;141.35;136.3;136.5;138.181;4858975;671467643;9372
2018-11-30;134.65;134.75;134.7;135.15;132.7;135;134.518;3513555;472592756.3;4622
2018-11-29;134.4;134.5;131.5;134.9;131.4;134.7;134.069;3716827;498343174.9;6967
2018-11-28;130;130.05;130.65;131.4;129.55;130.2;130.347;3574968;465997993.7;6954
2018-11-27;130.15;130.2;132;132.95;129.55;130.25;130.801;4308836;563453696.3;7984
2018-11-26;133.45;133.55;131.8;133.65;131.6;133.65;132.892;3242548;430854178.9;6692
2018-11-23;130.6;130.65;130.6;132.2;129.85;130.8;131.018;2568874;336581742.4;6688
2018-11-22;130.9;131;133.35;133.4;130.75;130.9;131.357;1837806;241418535.6;4128
2018-11-21;133.3;133.4;131.8;133.6;130.45;133.35;132.356;3041116;402506735.6;6189
2018-11-20;130.6;130.65;132.3;132.4;129.25;130.9;130.813;3989006;521939714.9;8047
2018-11-19;133.45;133.55;135.65;136.95;133.4;133.55;134.7;2575074;347104217.3;5122
2018-11-16;135.25;135.35;135.4;137.45;134.5;135.3;135.899;2786889;378744037.2;6360
2018-11-15;134.3;134.4;135.75;137.8;133.25;134.4;135.313;3705562;502185600;5624
2018-11-14;135.05;135.15;134.9;136.65;133.65;135.45;135.304;3082785;417108794.6;6610
2018-11-13;136.65;136.75;136.7;138.5;134.15;137.2;136.388;3512024;478997645.7;6949
2018-11-12;136.6;136.7;139.1;140.35;136.3;136.8;137.556;2548263;350592579.7;5027
2018-11-09;138.1;138.15;141.7;142.2;138;138.65;139.212;3127971;435472261.7;6383
2018-11-08;142;142.05;143.3;144.55;141.6;142.25;142.643;2288474;326415598.6;4097
2018-11-07;142.55;142.6;144.1;146.05;141.4;142.8;143.338;2798410;401109725.1;4940
2018-11-06;143.4;143.45;143.7;144.45;142.9;143.55;143.591;2107315;302593710.7;4241
2018-11-05;143.45;143.55;144.3;145.1;142.4;143.6;143.579;3178610;456379292.9;7530
2018-11-02;145.95;146.05;146;148.55;145.3;145.8;146.669;2726682;399957930.7;4559
2018-11-01;143.4;143.5;144.5;145.5;142.05;143.55;143.819;3865406;555912216.2;8270
2018-10-31;144.75;144.8;143.55;146.6;143.05;144.9;145.133;4830281;701048728.1;8850
2018-10-30;141.95;142;140.2;142.8;137.95;141.9;140.86;4071790;573549137.3;8724
2018-10-29;139.15;139.25;135.7;144.15;135.7;139.8;141.051;4645194;655283221.2;9903
2018-10-26;135.05;135.15;136.1;136.9;133.25;135.35;134.873;5710557;770196881.7;11279
2018-10-25;137.55;137.65;133.6;139.6;130.85;138.35;136.723;6813694;931393794.2;12725
2018-10-24;135.05;135.1;136.3;136.95;132.05;134.85;134.788;6371442;858711825;14057
2018-10-23;135.2;135.3;133.5;138.7;129.1;135.3;133.973;8102091;1085043606;16443
2018-10-22;136;136.1;137.8;138.55;135.3;135.7;136.771;3288713;450538440.4;7324
2018-10-19;136.35;136.45;141;141.65;132.45;136.3;136.435;6727597;917990344.9;15061
2018-10-18;141.75;141.85;143;144.1;140.6;141.7;142.489;3135036;446748750;6726
2018-10-17;143.5;143.6;144.3;146.05;142.95;143.4;144.251;2861033;412712666.7;5900
2018-10-16;143.85;143.95;138.65;144;137.8;143.95;142.48;3577912;509793906.4;7976
2018-10-15;140;140.1;143.45;143.45;139.75;140.25;140.687;3238474;455889243.1;6658
2018-10-12;141.4;141.5;143.15;145.15;141.35;141.45;142.962;3028839;433039330.1;6546
2018-10-11;142.55;142.65;143.15;143.95;140.65;141.95;142.413;5150871;733543916.2;11245
2018-10-10;146.05;146.1;154.1;154.15;145.7;145.7;147.611;4368917;644922730.9;8342
2018-10-09;154.1;154.2;152.9;155.55;151.6;154;153.674;3330101;511771527.5;5814
2018-10-08;152.9;153;152.4;153.75;151.35;152.65;152.918;2533351;387393821.2;5015
2018-10-05;152.75;152.8;156.15;157.05;152.6;152.6;154.321;2661417;410846398.5;4942
2018-10-04;155.85;155.95;157.9;158;154.85;156.2;156.194;2197028;343163481;4130
2018-10-03;158.7;158.75;154.5;159;154.5;158.65;157.571;2429966;382892170.3;4987
2018-10-02;157;157.1;156.95;157.05;154.15;157.05;156.057;1934618;301910093.8;4202
