Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-03-01;1.164;1.168;1.176;1.18;1.154;1.16;1.162;1054314;1225468.15;266
2018-02-28;1.164;1.17;1.172;1.192;1.162;1.17;1.18;2096029;2473538.25;420
2018-02-27;1.172;1.178;1.218;1.218;1.164;1.164;1.186;1697629;2012916.49;354
2018-02-26;1.202;1.218;1.22;1.254;1.182;1.2;1.213;4574726;5547584.96;778
2018-02-23;1.18;1.184;1.114;1.19;1.07;1.182;1.143;8944115;10226021.65;1183
2018-02-22;1.09;1.1;1.034;1.13;1.022;1.11;1.089;11333672;12341897.91;1253
2018-02-21;1.008;1.02;1.044;1.05;0.98;1.02;1.011;3254896;3291376.6;448
2018-02-20;1.028;1.04;1.042;1.06;1.004;1.042;1.031;3490793;3597464.23;487
2018-02-19;1.05;1.056;1.082;1.088;1.04;1.048;1.057;3676756;3887410.51;404
2018-02-16;1.09;1.108;1.11;1.128;1.09;1.1;1.103;1269315;1399635.47;232
2018-02-15;1.11;1.118;1.092;1.172;1.09;1.11;1.129;2721748;3072326.14;461
2018-02-14;1.09;1.096;1.082;1.102;1.026;1.09;1.074;1939508;2082856.99;307
2018-02-13;1.068;1.072;1.11;1.12;1.068;1.072;1.081;910082;984000.9;225
2018-02-12;1.102;1.11;1.102;1.14;1.102;1.104;1.117;1096510;1224950.82;233
2018-02-09;1.08;1.106;1.12;1.13;1.076;1.086;1.105;2949681;3259386.91;529
2018-02-08;1.134;1.14;1.198;1.2;1.134;1.138;1.159;1437650;1666598.93;257
2018-02-07;1.19;1.194;1.062;1.2;1.05;1.19;1.144;2732188;3126710.51;462
2018-02-06;1.144;1.146;1.05;1.16;1.03;1.13;1.115;5661932;6312398.85;994
2018-02-05;1.178;1.188;1.238;1.268;1.17;1.172;1.213;5262648;6384944.34;763
2018-02-02;1.266;1.27;1.3;1.31;1.26;1.262;1.276;2162982;2760271.9;279
2018-02-01;1.296;1.3;1.288;1.31;1.27;1.3;1.296;1993523;2584400.57;248
2018-01-31;1.282;1.286;1.296;1.306;1.27;1.28;1.287;1517193;1952388.58;269
2018-01-30;1.292;1.298;1.318;1.324;1.284;1.292;1.303;1880502;2449275.13;277
2018-01-29;1.29;1.296;1.304;1.33;1.28;1.324;1.304;2868038;3740658.04;409
2018-01-26;1.29;1.304;1.264;1.336;1.262;1.31;1.305;2927580;3819940.43;496
2018-01-25;1.27;1.272;1.35;1.358;1.252;1.272;1.297;5654458;7336220.88;1024
2018-01-24;1.332;1.346;1.38;1.478;1.324;1.338;1.402;12474828;17493556.91;1575
2018-01-23;1.372;1.38;1.32;1.38;1.27;1.378;1.341;8689435;11652209.77;1001
2018-01-22;1.312;1.32;1.23;1.32;1.21;1.318;1.266;4120481;5216991.66;573
2018-01-19;1.222;1.236;1.18;1.26;1.18;1.23;1.219;4037071;4922058.23;620
2018-01-18;1.178;1.19;1.172;1.228;1.13;1.182;1.182;4356999;5151784.32;561
2018-01-17;1.17;1.176;1.176;1.194;1.138;1.174;1.167;4311506;5032805.05;648
2018-01-16;1.174;1.18;1.27;1.27;1.164;1.176;1.202;9086524;10920743.46;1182
2018-01-15;1.264;1.266;1.298;1.298;1.254;1.26;1.273;2411972;3070350.54;332
2018-01-12;1.28;1.296;1.306;1.308;1.278;1.298;1.291;3018116;3895184.74;419
2018-01-11;1.288;1.294;1.3;1.308;1.268;1.294;1.283;3342742;4289738.95;466
2018-01-10;1.294;1.296;1.302;1.326;1.29;1.29;1.302;3133860;4080635.87;444
2018-01-09;1.32;1.326;1.298;1.326;1.26;1.324;1.29;6696836;8638394.37;733
2018-01-08;1.294;1.302;1.308;1.328;1.256;1.298;1.284;6700751;8603266.45;862
2018-01-05;1.3;1.31;1.326;1.336;1.3;1.31;1.312;2305486;3024727.7;320
2018-01-04;1.318;1.326;1.374;1.388;1.3;1.326;1.334;5085480;6782579.77;762
2018-01-03;1.362;1.364;1.334;1.378;1.246;1.364;1.307;13182769;17222941.66;1609
2018-01-02;1.322;1.33;1.53;1.53;1.32;1.33;1.396;19378084;27058175.28;2332
2017-12-29;1.52;1.53;1.35;1.54;1.34;1.53;1.467;8845169;12972530.68;1121
2017-12-28;1.34;1.35;1.38;1.38;1.34;1.35;1.358;2716519;3688995.86;434
2017-12-27;1.36;1.37;1.3;1.4;1.3;1.37;1.366;5991400;8183944.01;767
2017-12-22;1.32;1.33;1.39;1.41;1.3;1.33;1.344;10840404;14565473.51;1279
2017-12-21;1.4;1.41;1.5;1.51;1.38;1.41;1.446;12319639;17818020.29;1214
2017-12-20;1.49;1.5;1.54;1.63;1.44;1.5;1.544;21887814;33795378.84;2289
2017-12-19;1.52;1.53;1.58;1.66;1.44;1.53;1.586;29420637;46654579.62;2556
2017-12-18;1.55;1.56;1.44;1.57;1.43;1.56;1.522;15859863;24142347.62;1903
2017-12-15;1.42;1.43;1.45;1.47;1.38;1.41;1.416;14642061;20731848.73;1485
2017-12-14;1.44;1.45;1.27;1.48;1.22;1.45;1.394;41136507;57358040.55;3494
2017-12-13;1.24;1.25;1.2;1.27;1.18;1.25;1.241;15499368;19238416.94;1029
2017-12-12;1.18;1.19;1.25;1.25;1.18;1.18;1.217;7086411;8626915.21;780
2017-12-11;1.23;1.24;1.13;1.25;1.12;1.24;1.187;7899247;9372642.31;909
2017-12-08;1.11;1.12;1.12;1.13;1.1;1.11;1.11;3750059;4161839.12;416
2017-12-07;1.1;1.12;1.13;1.13;1.1;1.12;1.109;3592009;3984844.67;464
2017-12-06;1.11;1.12;1.14;1.16;1.08;1.13;1.115;9204755;10260531.39;750
2017-12-05;1.14;1.15;1.13;1.2;1.1;1.14;1.147;9545157;10947383.12;1069
2017-12-04;1.14;1.15;1.27;1.3;1.13;1.15;1.204;21440654;25805173.1;2387
2017-12-01;1.23;1.24;1.15;1.29;1.1;1.24;1.214;41343238;50196469.41;4191
2017-11-30;1.13;1.14;1.02;1.17;1.02;1.14;1.105;38890115;42953300.67;3696
2017-11-29;0.975;0.98;0.885;1.05;0.88;0.98;0.933;16189566;15107435.32;1877
2017-11-28;0.86;0.87;0.78;0.88;0.78;0.865;0.831;8521689;7079022.92;670
2017-11-27;0.775;0.78;0.755;0.82;0.755;0.775;0.793;12098693;9598912.94;1143
2017-11-24;0.735;0.75;0.72;0.77;0.71;0.735;0.748;3105012;2321106.04;372
2017-11-23;0.705;0.715;0.7;0.735;0.67;0.705;0.707;5108056;3610823.58;367
2017-11-22;0.69;0.7;0.69;0.715;0.685;0.69;0.695;4292035;2981936.33;265
2017-11-21;0.68;0.69;0.7;0.7;0.67;0.685;0.682;2621668;1787875.37;236
2017-11-20;0.695;0.71;0.705;0.725;0.695;0.705;0.706;1160992;820156.7;125
2017-11-17;0.7;0.705;0.7;0.73;0.69;0.705;0.708;1219846;863095.6;170
2017-11-16;0.7;0.705;0.71;0.71;0.69;0.7;0.702;1208532;848750.03;164
2017-11-15;0.7;0.71;0.715;0.715;0.685;0.71;0.7;461814;323286.3;118
2017-11-14;0.71;0.715;0.68;0.72;0.67;0.715;0.695;886305;616139.01;137
2017-11-13;0.67;0.675;0.73;0.73;0.66;0.675;0.682;1806761;1231755.08;248
2017-11-10;0.695;0.7;0.675;0.765;0.675;0.695;0.725;5691588;4124547.03;754
2017-11-09;0.675;0.68;0.7;0.7;0.67;0.68;0.692;1697659;1175100.53;151
2017-11-08;0.695;0.7;0.705;0.725;0.69;0.695;0.701;1194085;836530.18;134
2017-11-07;0.71;0.72;0.71;0.735;0.7;0.715;0.719;760639;546735.47;116
2017-11-06;0.705;0.71;0.73;0.75;0.69;0.71;0.73;2685397;1958946.45;293
2017-11-03;0.71;0.725;0.735;0.735;0.705;0.72;0.715;405476;290053.41;86
2017-11-02;0.72;0.73;0.73;0.73;0.705;0.73;0.716;903303;646923.34;142
2017-11-01;0.72;0.725;0.74;0.74;0.695;0.725;0.717;10814592;7613375.2;284
2017-10-31;0.715;0.73;0.725;0.75;0.71;0.725;0.731;2892887;2115346.51;419
2017-10-30;0.7;0.71;0.675;0.75;0.66;0.7;0.706;4911662;3467848.65;592
2017-10-27;0.67;0.675;0.615;0.69;0.61;0.675;0.658;4715977;3104980.45;395
2017-10-26;0.615;0.625;0.62;0.625;0.605;0.615;0.617;1672837;1031259.2;156
2017-10-25;0.62;0.625;0.625;0.63;0.615;0.62;0.62;1732655;1073873.55;201
2017-10-24;0.615;0.625;0.635;0.65;0.615;0.62;0.629;1980215;1245815.99;194
2017-10-23;0.63;0.635;0.665;0.665;0.62;0.63;0.646;1880833;1214409.51;176
2017-10-20;0.66;0.67;0.665;0.68;0.66;0.67;0.666;1435499;956607.16;135
2017-10-19;0.66;0.665;0.685;0.685;0.66;0.665;0.668;1064317;710839.34;124
2017-10-18;0.675;0.685;0.7;0.72;0.66;0.685;0.689;2335140;1609458.5;248
2017-10-17;0.7;0.705;0.71;0.75;0.7;0.7;0.722;3362889;2429057.76;371
2017-10-16;0.705;0.71;0.67;0.73;0.65;0.705;0.687;4713776;3236048.27;460
2017-10-13;0.675;0.685;0.625;0.685;0.625;0.68;0.654;4927998;3224608.69;421
2017-10-12;0.625;0.63;0.63;0.64;0.61;0.63;0.628;1535722;964234.7;108
2017-10-11;0.63;0.635;0.645;0.645;0.62;0.63;0.628;1321245;829568.03;117
2017-10-10;0.63;0.64;0.635;0.65;0.615;0.64;0.628;933302;586461.63;118
2017-10-09;0.625;0.635;0.64;0.65;0.62;0.635;0.636;1463178;930838.83;184
2017-10-06;0.63;0.64;0.625;0.64;0.62;0.635;0.632;1803245;1139581.76;165
2017-10-05;0.62;0.625;0.62;0.635;0.615;0.625;0.626;1218884;763376;139
2017-10-04;0.615;0.625;0.605;0.62;0.59;0.62;0.607;2204622;1338832.9;222
2017-10-03;0.6;0.605;0.62;0.62;0.59;0.605;0.604;2049306;1237310.01;248
2017-10-02;0.62;0.625;0.63;0.645;0.615;0.62;0.626;726628;455081.92;138
2017-09-29;0.625;0.635;0.645;0.645;0.62;0.63;0.634;1418539;899214.63;201
2017-09-28;0.645;0.655;0.655;0.66;0.63;0.655;0.649;616518;400202.28;121
2017-09-27;0.631;0.636;0.616;0.64;0.616;0.636;0.626;1556392.094;974231.39;160
2017-09-26;0.616;0.621;0.64;0.64;0.616;0.616;0.626;1269864.99;794795.39;150
2017-09-25;0.626;0.636;0.616;0.636;0.607;0.636;0.626;1260850.105;789452.87;176
2017-09-22;0.611;0.616;0.597;0.616;0.587;0.616;0.608;821522.7376;499115.74;132
2017-09-21;0.597;0.602;0.597;0.602;0.587;0.597;0.593;946267.9251;560988.49;146
2017-09-20;0.587;0.592;0.578;0.607;0.578;0.587;0.591;683879.8583;404340.64;117
2017-09-19;0.578;0.583;0.616;0.616;0.578;0.578;0.587;1582162.555;929285.08;186
2017-09-18;0.602;0.607;0.611;0.611;0.592;0.602;0.601;563658.2091;338932.41;131
2017-09-15;0.607;0.611;0.587;0.64;0.578;0.611;0.614;3913898.042;2401482.41;429
2017-09-14;0.583;0.587;0.592;0.592;0.573;0.587;0.584;793185.2003;462850.14;128
2017-09-13;0.587;0.592;0.578;0.592;0.573;0.592;0.582;901955.7345;524641.06;114
2017-09-12;0.587;0.592;0.578;0.592;0.573;0.592;0.58;1353863.025;785603.33;186
2017-09-11;0.583;0.587;0.597;0.597;0.578;0.578;0.584;1829245.776;1068636.31;246
2017-09-08;0.602;0.607;0.621;0.621;0.597;0.602;0.604;1445222.714;872316.95;222
2017-09-07;0.621;0.626;0.621;0.626;0.607;0.621;0.617;1849109.467;1140695.58;232
2017-09-06;0.626;0.636;0.636;0.679;0.621;0.626;0.646;3775597.816;2437525.89;435
2017-09-05;0.607;0.611;0.616;0.616;0.602;0.611;0.61;872392.8126;531944.76;168
2017-09-04;0.607;0.616;0.645;0.65;0.602;0.611;0.625;3074399.536;1921996.22;359
2017-09-01;0.626;0.636;0.636;0.645;0.621;0.631;0.633;3089731.381;1955539.94;392
2017-08-31;0.626;0.631;0.664;0.684;0.611;0.621;0.649;17738683.63;11507014.4;1578
2017-08-30;0.79;0.794;0.785;0.804;0.785;0.794;0.791;975032.2702;771505.3;150
2017-08-29;0.78;0.785;0.799;0.809;0.77;0.785;0.784;1780663.432;1396189.63;219
2017-08-28;0.809;0.814;0.833;0.833;0.799;0.809;0.812;904763.7344;734730.78;151
2017-08-25;0.819;0.823;0.814;0.847;0.78;0.819;0.814;2329509.026;1895291.6;318
2017-08-24;0.804;0.814;0.799;0.819;0.785;0.814;0.801;688205.0505;551130.79;132
2017-08-23;0.794;0.799;0.79;0.799;0.785;0.799;0.791;438618.0985;347120.98;119
2017-08-22;0.794;0.799;0.833;0.843;0.78;0.79;0.805;4583213.478;3690822.25;363
2017-08-21;0.828;0.843;0.852;0.867;0.828;0.833;0.845;1357797.755;1147545.61;234
2017-08-18;0.819;0.828;0.809;0.867;0.799;0.819;0.839;2607088.746;2188189.32;382
2017-08-17;0.814;0.828;0.867;0.896;0.814;0.814;0.839;2443970.329;2051448.94;377
2017-08-16;0.847;0.857;0.77;0.876;0.766;0.857;0.826;5723329.972;4726372.93;692
2017-08-15;0.761;0.77;0.775;0.814;0.761;0.77;0.779;2197966.069;1712692.99;252
2017-08-14;0.775;0.79;0.78;0.838;0.761;0.775;0.793;1644036.168;1304008.82;305
2017-08-11;0.785;0.79;0.828;0.828;0.78;0.78;0.798;1443493.675;1151551.24;209
2017-08-10;0.828;0.833;0.847;0.857;0.814;0.833;0.829;1617453.63;1340756.64;193
2017-08-09;0.843;0.857;0.9;0.9;0.809;0.847;0.847;3635312.052;3078968.39;465
2017-08-08;0.876;0.881;0.886;0.905;0.833;0.886;0.878;6162479.763;5408667.12;731
2017-08-07;0.857;0.862;0.819;0.963;0.785;0.867;0.895;16214678.03;14513096.28;2066
