Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2019-02-01;30.18;30.23;30.4;30.49;29.74;30.25;30.211;6681093;201845947.6;6624
2019-01-31;30.14;30.18;29.88;30.48;29.71;30.22;30.193;9402004;283896120.1;7492
2019-01-30;29.48;29.5;28.3;29.94;28.25;29.36;29.235;11344259;331707655.2;10484
2019-01-29;28.1;28.14;27.74;28.75;27.52;28;28.186;10574295;298033644.7;8620
2019-01-28;26.98;26.99;27.75;27.91;26.88;26.91;27.238;4240870;115496599;3692
2019-01-25;27.61;27.63;27.12;27.66;27.02;27.54;27.45;3488509;95759934.54;3036
2019-01-24;26.87;26.9;26.93;27.2;26.73;26.91;26.979;3105275;83782057.59;2717
2019-01-23;26.85;26.89;27.5;27.54;26.83;26.88;27.171;3698780;100506713.2;3171
2019-01-22;27.33;27.35;27.7;27.8;27.17;27.4;27.409;4653687;127553843.9;4176
2019-01-21;28.26;28.29;29.2;29.22;28.25;28.29;28.599;3486841;99707521.16;3175
2019-01-18;28.8;28.83;28.5;29.13;28.5;28.89;28.841;4106166;118426754.1;3634
2019-01-17;28.11;28.14;27.44;28.24;27.03;28.11;27.766;6081536;168857339;5788
2019-01-16;27.23;27.25;26.98;27.27;26.66;27.27;27.002;3378664;91229868.12;2574
2019-01-15;26.62;26.67;26.92;27.19;26.55;26.69;26.853;2590492;69562327.69;2096
2019-01-14;26.64;26.67;26.74;26.9;26.32;26.66;26.638;1347464;35894076.84;1262
2019-01-11;26.81;26.86;26.86;26.94;26.6;26.88;26.769;2803551;75047758.81;2179
2019-01-10;26.6;26.66;26.69;26.69;26.01;26.63;26.404;3215981;84916343.71;2903
2019-01-09;26.62;26.65;26.23;27.08;26.08;26.69;26.694;4348642;116093800.3;3489
2019-01-08;25.92;25.95;25.86;26.22;25.43;26.02;25.796;2937442;75774602.47;3030
2019-01-07;25.74;25.77;25.98;26.24;25.58;25.78;25.864;2576353;66633433.02;2342
2019-01-04;25.28;25.32;24.45;25.45;24.4;25.36;25.01;3114077;77882227.16;2463
2019-01-03;24.24;24.28;24.75;24.87;24.14;24.26;24.517;3049678;74768225.66;2874
2019-01-02;24.96;24.99;24.9;25.11;24.01;24.96;24.501;3815846;93491025.86;4652
2018-12-28;24.81;24.86;24.38;25.09;24.34;24.92;24.809;3952580;98062813.38;2872
2018-12-27;24.13;24.17;25.44;25.73;24.01;24.16;24.475;4442708;108733676;4783
2018-12-21;25.41;25.46;25.25;25.71;25.23;25.44;25.484;3177736;80979777.41;3172
2018-12-20;25.44;25.48;25.7;25.81;25.06;25.43;25.395;3343816;84923557.9;3502
2018-12-19;25.97;26;26;26.09;25.79;25.98;25.934;2239389;58075954.89;1888
2018-12-18;25.86;25.9;25.6;26.08;25.43;25.9;25.873;2714192;70224054.85;2275
2018-12-17;25.84;25.86;25.68;26.11;25.43;25.81;25.803;3072121;79265474.8;2614
2018-12-14;25.76;25.79;25.82;26.03;25.47;25.8;25.763;3300287;85025311.58;2874
2018-12-13;26.11;26.14;26.12;26.9;25.89;26.13;26.346;5107930;134544454.6;4364
2018-12-12;26.08;26.1;25.87;26.12;25.48;26.12;25.842;3369428;87071535.75;2872
2018-12-11;25.65;25.69;25;25.87;25;25.68;25.595;2962624;75828011.46;3019
2018-12-10;24.89;24.91;25.1;25.33;24.83;24.89;25.101;3697084;92801802.06;3423
2018-12-07;25.38;25.43;24.97;25.92;24.97;25.43;25.392;4809547;122124512.1;4169
2018-12-06;24.86;24.9;25.9;25.9;24.77;24.78;25.049;5491035;137553278.2;5385
2018-12-05;26.02;26.06;26;26.33;25.76;26.05;26.083;3475624;90656118.46;3580
2018-12-04;26.44;26.47;27.04;27.17;26.38;26.43;26.657;4873584;129894604.8;4293
2018-12-03;26.96;26.99;27.19;28.17;26.91;27.04;27.591;6689650;184533927.7;6431
2018-11-30;26.37;26.43;26.17;26.49;25.67;26.39;26.201;5099513;133607399.2;4274
2018-11-29;26.05;26.08;26.32;26.74;25.91;26.08;26.267;3912033;102757445.2;3988
2018-11-28;25.92;25.99;25.8;26.36;25.7;25.98;26.05;7164040;186624418.8;6076
2018-11-27;25.56;25.6;26.21;26.21;25.21;25.54;25.596;4254141;108888332.6;4412
2018-11-26;26.18;26.21;26.25;26.44;25.91;26.21;26.194;3609119;94537842.83;3461
2018-11-23;26.12;26.16;26.56;26.92;26.08;26.21;26.443;2705145;71531676.7;2870
2018-11-22;26.52;26.58;27.14;27.28;26.39;26.54;26.613;3195358;85036192.84;2581
2018-11-21;27.05;27.09;26.5;27.11;26.33;27.08;26.731;5343750;142839221.4;4626
2018-11-20;26.5;26.53;27.6;27.63;26.23;26.46;26.718;7122408;190280209.3;6224
2018-11-19;27.66;27.69;28.2;28.5;27.61;27.68;27.943;3712475;103738519.3;4027
2018-11-16;28.02;28.06;28.62;28.83;28.03;28.1;28.372;2243114;63640073.05;2297
2018-11-15;28.3;28.31;28.37;29.09;28.07;28.32;28.372;2575590;73073934.87;2814
2018-11-14;28.27;28.33;28.4;28.67;27.65;28.33;28.22;6246956;176320783.9;4995
2018-11-13;28.57;28.6;28.8;29;28.17;28.53;28.651;3549450;101693611.9;3365
2018-11-12;28.72;28.75;29.41;29.91;28.67;28.77;29.335;3469388;101768514.6;3529
2018-11-09;29.39;29.44;29.85;29.85;28.94;29.34;29.35;3423044;100465186.5;3515
2018-11-08;29.99;30.04;30.21;30.37;29.68;30.01;30.07;5024009;150936690.3;3243
2018-11-07;29.97;30.02;30.2;30.46;29.82;30;30.128;4216607;127034240.5;3518
2018-11-06;29.98;30.02;30.13;30.47;29.93;29.97;30.114;3160521;95176752.43;2463
2018-11-05;29.88;29.9;30.89;30.93;29.78;29.89;30.136;5803803;174940331.2;4855
2018-11-02;30.75;30.78;30.26;30.91;30.26;30.89;30.681;3732013;114503353.3;2838
2018-11-01;29.7;29.73;29.92;29.96;29.08;29.74;29.601;3665745;108507877.2;4152
2018-10-31;29.68;29.72;29.25;30.02;29.25;29.69;29.724;5946074;176744100.9;5161
2018-10-30;28.96;29;29.1;29.31;28.19;29;28.691;5531392;158691688.2;4779
2018-10-29;28.9;28.92;29;29.56;28.5;28.97;28.963;14538537;420876131.8;7635
2018-10-26;28.52;28.55;29.7;29.82;27.5;28.67;28.356;10772199;305279427.6;8285
2018-10-25;29.62;29.66;29.55;30.34;29.2;29.6;29.78;6135359;182731125.9;5617
2018-10-24;29.89;29.95;31.25;31.43;29.87;29.95;30.358;5133317;155824810.6;5632
2018-10-23;31.22;31.27;31.88;31.99;31.05;31.22;31.284;3382395;105815275.1;4007
2018-10-22;32.23;32.3;32.51;32.78;31.92;32.26;32.233;2932910;94536987.23;3106
2018-10-19;32.26;32.31;34.09;34.16;32.05;32.3;32.704;5510022;180189421.8;6157
2018-10-18;34.16;34.18;34.24;34.72;34.01;34.16;34.371;3423740;117829839.4;3403
2018-10-17;34.17;34.2;34.83;35.14;34.05;34.19;34.586;3780074;130739162.5;3565
2018-10-16;34.48;34.52;33.77;34.51;33.65;34.51;34.133;2740386;93546851.71;2914
2018-10-15;33.77;33.82;33.7;33.82;33.16;33.81;33.593;2553454;85777149.84;2757
2018-10-12;33.68;33.73;33.77;34.13;33.59;33.7;33.812;3015300;101954171.8;3021
2018-10-11;33.57;33.62;34;34.2;33.41;33.57;33.844;4764479;161249309.6;5345
2018-10-10;34.92;34.97;35.92;36.09;34.87;35.03;35.328;2362165;83460948.45;2238
2018-10-09;35.87;35.91;35.49;35.92;35.42;35.9;35.637;1881889;67064694.93;1369
2018-10-08;35.35;35.37;35.62;35.76;35.08;35.31;35.403;2083728;73770188.23;2324
2018-10-05;35.62;35.68;36.55;36.7;35.4;35.63;35.809;3736879;133864328.9;3134
2018-10-04;36.57;36.6;37.01;37.28;36.55;36.57;36.991;2402247;88862997.23;2368
2018-10-03;37.11;37.14;36.71;37.18;36.67;37.18;36.933;1996181;73724771.17;1715
2018-10-02;36.6;36.65;36.14;36.81;36;36.6;36.504;2857442;104317742.9;2310
2018-10-01;36.13;36.14;36.06;36.54;35.94;36.17;36.263;1428621;51816218.48;1726
2018-09-28;36.16;36.19;36.46;36.6;35.86;36.06;36.154;3444642;124565923.3;3612
2018-09-27;36.5;36.56;36.4;36.79;36.11;36.45;36.496;2987582;109036238.8;3084
2018-09-26;36.38;36.4;37.14;37.15;36.31;36.45;36.531;3278846;119781917.9;3343
2018-09-25;36.88;36.92;36.5;37.45;36.46;36.9;36.756;5212753;191548517.5;5126
2018-09-24;35.98;36;35.85;36.19;35.36;35.9;35.891;3134714;112514985;2824
2018-09-21;35.83;35.85;36.14;36.36;35.81;35.87;36.078;4053673;146239389.1;3216
2018-09-20;35.92;35.94;35.58;36.22;35.39;35.95;35.92;4957371;178059791.9;3886
2018-09-19;35.51;35.56;34.7;35.68;34.65;35.52;35.345;7275822;257166930.9;5725
2018-09-18;34.62;34.66;34.15;34.78;33.85;34.6;34.497;4495814;155094667.4;4061
2018-09-17;34.09;34.1;33.66;34.19;33.61;34.17;34.038;3438410;117035228.7;2947
2018-09-14;33.89;33.93;33.6;34.06;33.5;33.91;33.889;2883431;97716962.69;2492
2018-09-13;33.32;33.36;33.81;33.93;33.15;33.35;33.618;2343106;78771485.36;2418
2018-09-12;33.77;33.79;33.05;33.83;33;33.8;33.538;3987810;133741895.5;3664
2018-09-11;33.01;33.05;33.16;33.18;32.51;33.01;32.787;3937284;129090513.3;4191
2018-09-10;33.13;33.17;32.81;33.25;32.52;33.12;33.004;2817870;93000330.35;3131
2018-09-07;32.77;32.81;32.8;33.12;32.49;32.85;32.841;3690187;121189174.2;3637
2018-09-06;32.6;32.63;32.9;33.57;32.54;32.59;33.129;5128252;169905444.1;4472
2018-09-05;32.92;32.98;32.82;33.25;32.39;32.89;32.836;5376976;176622326.5;4086
2018-09-04;32.91;32.94;32.66;33.06;32.31;32.87;32.726;6309235;206465593.4;5808
2018-09-03;32.24;32.29;31.95;32.41;31.89;32.29;32.258;2014695;64990291.31;2234
2018-08-31;31.96;31.99;32.1;32.39;31.74;31.95;32.049;2964865;95020464.38;2705
2018-08-30;32.08;32.11;32.9;32.9;31.8;32.05;32.194;8264229;265977813.2;8347
2018-08-29;33.47;33.5;33.26;33.58;33.02;33.45;33.425;3092412;103364228.4;2921
2018-08-28;33.21;33.24;32.5;33.34;32.46;33.26;33.032;4452243;147070383.5;4433
2018-08-27;32.33;32.35;32.5;32.66;32.2;32.38;32.402;2207998;71546040.76;2422
2018-08-24;32.28;32.3;32.3;32.54;32.15;32.3;32.317;2047289;66162378.08;2094
2018-08-23;32.17;32.21;32.9;32.9;32.13;32.13;32.464;3017128;97962191.85;2467
2018-08-22;32.87;32.89;32.37;32.95;32.11;32.91;32.475;2963945;96253253.61;2652
2018-08-21;32.27;32.3;32.21;32.37;32;32.23;32.228;1716719;55325867.03;1686
2018-08-20;32.1;32.13;31.96;32.43;31.96;32.11;32.226;2309826;76023882.13;2449
2018-08-17;31.79;31.83;32.34;32.34;31.46;31.87;31.741;3630761;115242655.7;3986
2018-08-16;32.13;32.18;31.8;32.5;31.8;32.17;32.159;1945918;62577580.88;2072
2018-08-15;31.63;31.67;32.7;32.7;31.61;31.63;32.005;3901942;124884251;3923
2018-08-14;32.64;32.67;32.92;33.07;32.18;32.68;32.6;2464937;80357136.88;2494
2018-08-13;32.87;32.9;33.2;33.2;32.75;32.91;32.947;2510232;82705199.19;2266
2018-08-10;33.23;33.25;33.41;33.6;32.91;33.22;33.183;2921792;96952240.14;2940
2018-08-09;33.67;33.7;33.75;33.91;33.52;33.7;33.701;2549139;85910480.5;2545
2018-08-08;33.74;33.76;34.39;34.43;33.64;33.75;33.869;2389554;80928821.77;2700
2018-08-07;34.35;34.39;33.88;34.6;33.8;34.39;34.305;2083984;71492695.28;2352
2018-08-06;33.72;33.76;33.91;33.99;33.37;33.65;33.604;1914226;64324958.75;2271
2018-08-03;33.89;33.91;33.77;34.14;33.44;33.9;33.797;2672948;90337669.41;2927
2018-08-02;33.37;33.41;34.04;34.04;33.06;33.41;33.307;5007437;166781511.4;5591
2018-08-01;34.04;34.07;34.84;34.85;34.04;34.08;34.37;2329525;80067415.37;2645
2018-07-31;34.92;34.97;34.81;35.07;34.54;34.87;34.827;2077252;72342457.79;2355
2018-07-30;34.85;34.89;34.95;35.09;34.45;34.86;34.831;1257928;43813834.86;1394
2018-07-27;34.9;34.93;34.79;35.34;34.69;34.91;35.044;2467812;86482959.33;2723
2018-07-26;34.53;34.57;34.77;35.41;34.41;34.52;34.862;3146484;109691583.7;3139
2018-07-25;34.32;34.36;34.43;34.76;33.98;34.24;34.361;3065775;105344971.7;3307
2018-07-24;34.39;34.42;33.21;34.65;33.18;34.5;34.054;5834105;198682529.7;6725
2018-07-23;32.93;32.97;33.12;33.62;32.67;32.91;33.096;6028311;199513450.9;6043
2018-07-20;32.67;32.74;33.95;34.73;32.22;32.71;33.121;14601574;483563610.2;16185
2018-07-19;35.83;35.84;36.08;36.49;35.46;35.89;35.943;3832931;137766704.9;4207
2018-07-18;35.93;35.96;35;36.05;34.83;35.96;35.513;3621293;128601786.3;4458
2018-07-17;34.91;34.94;34.2;34.94;34.07;34.94;34.597;2501221;86534363.3;2278
2018-07-16;34.28;34.3;34.36;34.41;33.85;34.29;34.125;2154990;73539497.33;3368
2018-07-13;34.29;34.32;34.2;34.53;33.9;34.37;34.282;2742100;94006029.47;3128
2018-07-12;34.01;34.05;33.8;34.06;33.47;34.04;33.773;2911625;98333132.64;3663
