Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-05-29;91.01;91.25;85.9;91.35;85.53;91.35;88.9;311013;27649040.93;1323
2018-05-28;85.81;85.98;88.15;88.15;85;85.99;85.999;232220;19970659.07;737
2018-05-25;88.66;88.82;87.8;89.3;86.91;88.7;88.321;306317;27054283.99;1197
2018-05-24;87.6;88;88.84;90.09;86.77;87.9;88.423;268174;23712812.39;896
2018-05-23;87.81;88.01;87.5;88.4;85.1;88.01;86.778;239025;20742128.2;1086
2018-05-22;87.91;88.1;88.05;89.71;87.25;88.28;88.424;242396;21433598.81;1091
2018-05-21;88.1;88.21;86.4;88.5;85.5;87.89;87.246;234592;20467128.32;981
2018-05-18;85.4;85.49;83.51;85.66;83.51;85.34;85.156;262502;22353530.05;1248
2018-05-17;83.54;83.7;81.5;83.7;81.25;83.49;82.912;274524;22762474.9;980
2018-05-16;80.81;81.1;80.5;82.19;79.88;81.1;81.077;205473;16659037.37;849
2018-05-15;80.24;80.49;77.5;81.67;76.9;80.5;79.888;270948;21645581.02;897
2018-05-14;77.03;77.5;76.5;78.1;76.21;77.33;77.25;106274;8209692.59;465
2018-05-11;76.1;76.39;78.5;78.5;74.9;76.5;76.454;212583;16252849.1;905
2018-05-09;79.8;80;77.9;80;77.1;80;79.065;255178;20175709;817
2018-05-08;76;76.2;84;84;75.1;76;77.422;675606;52306760.6;2745
2018-05-07;84.1;84.6;81;84.6;81;84.4;83.148;209303;17403144.9;822
2018-05-04;81.1;81.4;80.8;81.5;80.2;81.4;80.821;117352;9484478.1;436
2018-05-03;80.3;80.6;81;81.9;80;80.8;80.613;121262;9775258.8;590
2018-05-02;80.6;80.9;78;81;77.5;80.8;80.187;274838;22038520.1;1135
2018-04-30;77.8;78;78;78.5;76.7;78.5;77.886;128349;9996541;546
2018-04-27;78;78.2;79;79;77.9;78;78.27;57180;4475471.9;268
2018-04-26;78;78.3;77.9;79;77.9;78.6;78.394;89332;7003093.3;576
2018-04-25;77.5;77.7;75.7;77.8;75.5;77.6;77.109;123467;9520408.4;556
2018-04-24;75.8;76.1;76;76.8;75.6;76.1;76.061;93598;7119116.1;388
2018-04-23;75.6;75.8;77.5;77.9;75;75.7;76.124;142671;10860744.8;528
2018-04-20;76.7;77;76;77.8;75;77;76.528;224042;17146271.6;864
2018-04-19;75.7;75.8;75.5;76.3;74.3;75.7;75.325;111483;8397457.5;545
2018-04-18;75;75.1;72.6;75.5;72.6;75.2;74.362;81088;6029841.9;482
2018-04-17;72.1;72.4;72.2;73;71.7;72.5;72.369;92556;6698210;549
2018-04-16;72.7;72.9;73.7;74.6;72.4;72.5;73.535;108151;7952845.5;551
2018-04-13;73.7;74;72;74;71.6;74;73.24;200530;14687483.6;713
2018-04-12;72;72.3;72.3;72.9;71.6;72.3;72.378;48539;3513149.7;266
2018-04-11;72;72.4;72.5;73.4;71.2;72;72.174;76862;5547458.9;386
2018-04-10;71.6;71.8;71;72.6;70.5;71.8;71.656;120172;8610985.3;581
2018-04-09;70.6;71;71.2;71.7;70;70.8;70.862;141933;10057595.2;464
2018-04-06;70.7;70.9;70;71.5;69.5;71;70.628;88161;6226641.6;554
2018-04-05;69.9;70;69.9;71.3;69.5;70;70.16;110646;7762927.9;537
2018-04-04;69.7;69.9;69.4;70;68.4;69.9;69.221;79229;5484295.9;434
