Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2019-02-01;130.65;130.7;130.5;131.4;129.05;130.6;130.243;6272831;817075553.9;10686
2019-01-31;130.05;130.1;129.85;132.25;128.6;130.05;130.205;10593026;1379114295;13502
2019-01-30;126.05;126.15;125;127.75;122.95;126.4;125.495;10083434;1265052986;19737
2019-01-29;126.85;126.9;125.3;127.7;124.2;126.5;126.451;5861889;741278195.7;9602
2019-01-28;124.6;124.7;125.3;126.1;123.9;124.5;124.928;4274024;534035444.9;7632
2019-01-25;125.45;125.55;121.9;125.65;121.8;125.2;124.599;5058742;630329273.3;7334
2019-01-24;120.8;120.9;120.45;121.8;119.4;120.95;120.686;4613774;556824177.3;7174
2019-01-23;120.8;120.85;122;122.3;120.45;120.85;121.381;3986630;483959167.9;5787
2019-01-22;122.35;122.4;123.5;124.1;121.7;122.5;122.654;3426071;420222024.7;5448
2019-01-21;123.75;123.85;123.85;124.9;122.85;123.85;123.616;4142148;511605450.3;5906
2019-01-18;125.2;125.25;123.35;125.3;123;125.15;124.596;7595323;946216000.9;9566
2019-01-17;122.25;122.3;121.25;122.65;120.85;122.1;122.024;3899718;475852503.1;6440
2019-01-16;121.8;121.9;121.75;122.75;121.35;122;121.968;5095006;621424382.4;6417
2019-01-15;121.45;121.5;120.15;122.15;120.15;121.35;121.283;4967359;602452165.8;8989
2019-01-14;120.8;120.9;120.2;121.35;119.75;120.8;120.679;2716065;327754804.3;4764
2019-01-11;120.75;120.8;121.1;121.65;119.3;120.75;120.364;3470357;417703698.7;5751
2019-01-10;120.95;121;121.1;121.25;119.5;121.05;120.536;3611206;435255825.1;6408
2019-01-09;122.05;122.15;122.35;123.5;120.95;122.05;122.407;4074105;498698006.7;7257
2019-01-08;121.5;121.6;117.5;122.85;117.25;121.65;121.09;6443797;780241107.1;10800
2019-01-07;117.45;117.5;118.75;119.25;116.85;117.65;117.603;4762419;560075359.6;7106
2019-01-04;118.55;118.6;114.15;119.05;114.15;118.9;117.399;5896522;692252335;8706
2019-01-03;113.8;113.85;114;115.45;113.75;113.85;114.42;3143939;359741529.2;6278
2019-01-02;115.25;115.35;115.45;115.8;112.85;115.4;114.728;3435741;394161541.8;6251
2018-12-28;115.75;115.85;114.75;116.55;114.75;115.95;115.916;4174087;483842490.6;5538
2018-12-27;113.85;113.95;115.35;116.75;113.35;113.9;114.515;5155006;594502028.8;8603
2018-12-21;114.4;114.5;115.8;116.05;114.2;114.9;114.931;7150345;821800615.3;9255
2018-12-20;116.15;116.25;116.8;116.95;115.5;116.1;116.23;5169704;600882456.5;7460
2018-12-19;118.8;118.85;116.95;119.25;116.8;118.6;118.548;5533118;655916708.8;6916
2018-12-18;117.2;117.3;116.1;118.65;115.5;117.15;117.241;5028779;589592589.4;7339
2018-12-17;116.8;116.9;117.3;117.6;115.9;116.6;116.6;3969337;462814416.8;6883
2018-12-14;117.7;117.75;117.5;118.9;115.45;117.6;117.376;4016411;471428891.8;5871
2018-12-13;117.95;118.05;119.4;119.6;117.7;118.15;118.572;4960936;588235131.9;7988
2018-12-12;118.95;119;118;119.45;116.75;119.2;118.771;4674237;555153537.2;7202
2018-12-11;117.35;117.45;115.7;118.2;115.4;117.45;117.12;4639332;543357205.6;7049
2018-12-10;114.65;114.7;116;116.2;114.55;114.7;115.214;4845841;558369599;7848
2018-12-07;117;117.1;118.5;119.6;116.7;117.05;117.842;5966099;702952176.9;9919
2018-12-06;117.5;117.6;120;120.15;117;117;118.035;7043714;831523084.9;11211
2018-12-05;121.75;121.85;124.15;124.35;121.5;121.7;122.235;5765458;704754480.4;9032
2018-12-04;126.25;126.35;131.2;131.35;125.75;126.15;127.611;7044866;898906891.7;9403
2018-12-03;131.75;131.8;129.55;133.1;129.45;131.75;131.711;8644347;1138735267;11690
2018-11-30;126.55;126.6;127.15;127.35;124.85;126.6;126.349;7241555;914976820.9;7108
2018-11-29;126.7;126.8;126.8;128.2;126.55;127;127.258;5515608;701855789.9;8138
2018-11-28;125;125.1;125.45;126.65;124.85;125.4;125.765;4473932;562667112.3;6292
2018-11-27;125.05;125.15;126.35;126.4;124.3;125.05;125.214;4853471;607703782.2;7191
2018-11-26;126.1;126.2;123.85;126.35;123.8;126.05;125.636;3498500;439533647.1;5781
2018-11-23;123;123.05;123.6;124.7;122.35;123.45;123.382;2913398;359450643;5356
2018-11-22;123.8;123.9;125.2;125.25;123.2;123.85;124.074;3105680;385343791.4;5885
2018-11-21;125.15;125.2;124;125.5;122.7;125.5;124.448;5360066;667038318.9;8400
2018-11-20;122.7;122.8;124.45;124.85;121;122.9;122.566;8847444;1084805820;14862
2018-11-19;125.1;125.15;128.4;129.45;125.1;125.1;126.367;6694943;847340043.5;9371
2018-11-16;128.25;128.3;129.5;130.75;127.25;128.3;129.157;4631236;598113376.9;8947
2018-11-15;128.6;128.7;130.4;131.95;128.05;128.6;129.355;5279328;682907290.7;8311
2018-11-14;130;130.1;130;131.45;127.9;130.35;129.746;5987882;776779093.4;10341
2018-11-13;131.6;131.7;134.2;135.25;131.2;132.3;132.592;9114858;1207636383;8074
2018-11-12;134.15;134.25;135.7;136.7;133.95;134.2;134.621;2896929;389988553.9;4981
2018-11-09;135.05;135.1;136.95;137.05;134.65;135.2;135.466;3344615;453078912.8;5849
2018-11-08;137.15;137.25;138.2;138.75;136.65;137.25;137.385;3287948;451713457.2;6180
2018-11-07;137.45;137.55;137.7;138.85;136.85;137.45;137.808;3781985;521190883.1;6743
2018-11-06;137.2;137.3;137.7;137.95;136.2;137.35;137.238;3532284;484750590.3;6559
2018-11-05;137.3;137.35;139.65;139.65;137.05;137.05;137.499;5174488;711474902.2;9895
2018-11-02;140.2;140.25;137.1;140.65;136.8;140.65;139.525;4115078;574150868;5789
2018-11-01;135.1;135.2;136.75;137.2;134.3;135.45;135.536;5325663;721818430.1;8704
2018-10-31;136.65;136.7;135.3;137.85;135.1;136.8;136.546;7347972;1003303205;10794
2018-10-30;134.1;134.2;133.5;134.25;131.65;134.2;133.203;4180073;556795538.6;7485
2018-10-29;133.1;133.2;132.4;136.1;132.05;133.3;134.12;5136612;688973377.3;9478
2018-10-26;131.15;131.2;133.15;133.6;130.15;131.5;131.46;8431824;1108436106;14742
2018-10-25;133.55;133.65;130;134.65;129.95;133.9;133.359;7015913;935646234.7;11436
2018-10-24;131.6;131.65;133.55;133.95;130.4;131.3;132.186;5990245;791828824.4;10165
2018-10-23;132.9;132.95;132.5;133.75;130.8;132.85;132.338;7330030;970037930.9;13152
2018-10-22;133.9;133.95;136.1;137.7;133.35;133.8;134.819;11622226;1570850095;13974
2018-10-19;134;134.15;140.5;140.85;128.5;133.85;133.709;18047467;2413035218;34901
2018-10-18;136.9;137;136.2;138.3;135.15;136.85;136.999;7174787;982945292.8;11714
2018-10-17;135.75;135.85;138;138.55;134.95;136.1;136.179;7787599;1059856968;11886
2018-10-16;136.2;136.3;130;138;129.25;136.25;134.719;21672483;2923005144;29963
2018-10-15;142.3;142.35;143.3;143.35;141.4;142.45;142.402;4435861;631597485.2;7261
2018-10-12;143.5;143.6;146;146.7;143.3;143.55;144.652;6395237;925134702.2;10256
2018-10-11;145;145.1;146.7;147;143.2;144.9;145.225;10185853;1479194477;16383
2018-10-10;150.1;150.15;155.1;155.4;149.9;150.2;151.184;5062485;765390485.4;8139
2018-10-09;154.45;154.5;154.05;156.1;153.4;154.75;154.466;4318699;667095205.8;6898
2018-10-08;154;154.1;155.1;155.3;153.55;153.9;154.048;2594066;399609950.3;4703
2018-10-05;155.5;155.55;157.65;157.8;154.9;155.4;155.891;4797418;747684516.3;7357
2018-10-04;158.1;158.2;160.35;160.35;157.55;158;158.547;3435926;544764520.6;6090
2018-10-03;160.95;161.05;157.4;161.3;157.15;160.85;159.987;4950250;791938225.2;7341
2018-10-02;156.05;156.15;156.7;157;154.6;156.25;155.728;3647643;567991403.2;6955
2018-10-01;157.6;157.7;157;157.95;156.1;157.5;157.34;2455762;386388962.4;4470
2018-09-28;157.55;157.6;158;158.1;156.3;157.1;157.064;3470719;545126624.9;5531
2018-09-27;158.1;158.15;157.45;158.85;156.35;158.3;157.929;3382634;534210046.2;6456
2018-09-26;157.95;158.05;158.5;158.75;156.9;158.1;157.628;2809511;442886833.7;6101
2018-09-25;158.35;158.4;159.2;160.25;157.85;158.3;158.77;3248889;515544983.1;6014
2018-09-24;159.25;159.35;159.5;159.85;158.55;159.1;159.296;3226985;513838874.1;5315
2018-09-21;160.1;160.15;159;162.2;158.6;160.25;160.503;7693088;1234759750;10296
2018-09-20;157.5;157.55;154.15;158.25;154.15;157.55;157.222;3914135;615444820.1;6716
2018-09-19;154;154.05;153.15;155.1;153.05;154.15;154.148;3440526;530342289.4;5713
2018-09-18;152.35;152.4;154;155.2;151.4;152.65;152.621;4294805;655503270.8;7109
2018-09-17;154.2;154.3;154;155.05;153;154.4;154.286;2924891;451270533.3;5459
2018-09-14;154.6;154.7;154.15;155.1;153.5;154.75;154.33;2948185;454989173.7;5201
2018-09-13;153.9;153.95;152.75;154.7;152.75;153.7;153.714;3548697;545486886.8;6575
2018-09-12;152.8;152.9;153.75;156.8;151.4;152.75;153.302;5334690;817856789.8;8687
2018-09-11;153.6;153.65;154.95;154.95;152.15;153.95;153.403;2611116;400544876.3;4240
2018-09-10;154.3;154.35;152.55;154.4;151.95;154.35;153.711;3390534;521152988.7;5587
2018-09-07;152.55;152.65;154.9;154.9;152.35;152.5;153.247;4556938;698348385.2;8214
2018-09-06;154.95;155.05;154.65;157.15;154.1;154.65;155.728;5312665;827373559;9964
2018-09-05;155.25;155.35;155;155.9;153.9;154.65;154.792;3777839;584772257.1;6560
2018-09-04;155.45;155.5;157.5;157.6;154.55;155.15;155.708;3202516;498680426.5;5947
2018-09-03;157.2;157.25;157.45;158.25;156.65;157.05;157.164;2251039;353782953.1;4445
2018-08-31;157.6;157.7;159.5;159.8;157.5;157.5;157.912;3680695;581232259.7;4925
2018-08-30;160.55;160.6;159;160.75;158;160.25;159.663;3889325;620978776.9;7161
2018-08-29;159.5;159.55;159.5;159.95;158.25;159.25;159.133;3384778;538541500.5;5329
2018-08-28;159.5;159.55;159.1;159.9;158.3;159.5;159.264;3434792;546957054.2;5839
2018-08-27;159;159.05;155.8;159.55;155.4;159;158.025;3373632;533060455.6;5435
2018-08-24;155.5;155.55;156.45;156.65;154.75;155.5;155.522;3297103;512760717.2;6746
2018-08-23;156.4;156.45;156;158.1;155.9;156.15;156.713;5122552;802778091.2;9721
2018-08-22;155.4;155.45;152.85;156.4;152.55;155.25;155.199;6264845;972288455.3;11173
2018-08-21;153.35;153.45;149.85;154.15;149.6;153.2;152.855;4839096;739685506.8;8141
2018-08-20;149.55;149.6;148.6;150.1;148.4;149.85;149.694;2303726;344844421.4;3906
2018-08-17;148.5;148.6;147.3;148.85;146.2;148.6;148.162;3432215;508506546;5568
2018-08-16;146.5;146.55;146.6;148.05;146.1;146.6;146.817;3203111;470275255.2;5180
2018-08-15;145.25;145.3;148.95;150.05;145;145.5;147.24;4007685;590244618.4;6547
2018-08-14;148.8;148.9;149.3;151.15;148.05;148.9;149.049;3273193;487485673.5;4774
2018-08-13;149.2;149.25;149.4;149.4;147.8;148.9;148.693;2418043;359540866.5;4833
2018-08-10;149.4;149.5;151.05;151.15;149.05;149.65;149.712;2797972;418897369.7;4591
2018-08-09;152;152.05;151.05;152.25;151.05;151.9;151.719;2521360;382537860.1;4442
2018-08-08;151.15;151.25;152.05;152.1;150.55;151.2;151.267;2657573;402006092.7;5054
2018-08-07;151.85;151.9;150.7;152.7;150.7;152.05;152.123;3524742;536193447.1;5928
2018-08-06;150.55;150.6;150;151.1;149.4;150.25;150.269;2214224;332734694;4101
2018-08-03;150.15;150.2;148.7;150.8;148.7;150.05;149.94;3838332;575513598.8;6689
2018-08-02;148.05;148.1;151.3;151.4;146.6;147.75;148.114;7653101;1133535874;13014
2018-08-01;152.35;152.4;154.3;154.85;152.25;152.25;152.817;3912740;597944182.9;5839
2018-07-31;154.75;154.8;154.35;154.9;153.4;154.15;154.099;3541489;545738201.2;4719
2018-07-30;154.1;154.2;154.65;155.8;154;154.3;154.727;2941273;455095313;6365
2018-07-27;153.4;153.45;154.8;154.85;152.65;153.45;153.487;3037593;466278293.4;4846
2018-07-26;154.1;154.15;154;154.95;153.45;154.3;154.136;3482100;536713754.4;5951
2018-07-25;152.65;152.75;154.3;154.75;152.4;152.4;153.346;4279664;656298634.7;8552
2018-07-24;154.05;154.15;152;156;151.8;154.4;154.305;5495577;848009688.9;9218
2018-07-23;151.9;152;148.15;152.1;147.7;151.7;150.801;5455904;822669628;8647
2018-07-20;147.95;148;150.75;151.85;147;148.15;149.058;7466202;1112922904;12880
2018-07-19;150.95;151.05;153;153.65;147.45;150.75;150.894;8418443;1270273206;14087
2018-07-18;148.7;148.75;148.3;149.9;147.25;148.55;148.819;4603219;685040621.6;8670
2018-07-17;147.1;147.15;148.8;149.2;146.25;147.15;147.47;3900650;575233104.2;7705
2018-07-16;148.6;148.7;147.75;149.8;146.55;148.65;148.589;4756429;706960256;8540
2018-07-13;147.65;147.7;146.45;147.8;146;147.55;147.084;3618029;532145953.9;6500
2018-07-12;146.05;146.1;144.1;146.45;142.55;146;145.329;4083233;593398485.3;6902
2018-07-11;143.25;143.3;144;144;142.3;143.45;143.194;4303157;616180912.3;6572
2018-07-10;145;145.1;144.65;145.15;143.55;145.15;144.608;4039972;584193583.1;6438
2018-07-09;144;144.1;142.6;144.35;141.95;144.35;143.498;4192971;601674538.6;7726
2018-07-06;142.15;142.25;142.5;143.4;141.05;142.1;141.964;5268852;747983571.6;10435
2018-07-05;142.45;142.55;139.85;143.95;139.5;142.2;142.376;6579391;936635490;11601
2018-07-04;139.35;139.4;139.3;139.75;138.3;139.3;139.144;4742133;659825426.4;7708
2018-07-03;139.5;139.6;140.35;141.3;139;139.4;140.021;3731021;522438642.1;7127
2018-07-02;139.4;139.45;141.7;141.7;139.25;139.55;139.873;4241817;593376364.1;8043
2018-06-29;143.3;143.4;140.6;143.65;140.3;143.2;142.601;6225572;887735903;9605
2018-06-28;139.3;139.4;139.2;140.8;138;139.3;139.153;4821658;670933989.4;9155
2018-06-27;139.85;139.95;137.5;141.25;136;139.7;139.041;5474905;761304704.5;10375
2018-06-26;137.8;137.9;138.95;139.7;137.55;138;138.541;7323748;1014858136;11476
2018-06-25;139;139.1;142.15;142.25;139.05;139.05;140.245;4812430;674960599.1;8338
2018-06-21;142.15;142.25;144.5;145.8;141.9;142;142.978;4504321;644028661.9;8377
2018-06-20;145;145.05;145.25;146.55;144.35;144.85;145.358;4166584;605647607.3;7009
2018-06-19;144.6;144.7;144.05;145.6;142.9;144.95;144.74;4971427;719919030.7;9190
2018-06-18;146.1;146.15;147.3;147.35;144.95;146.6;146.016;4512525;659279851.3;8839
2018-06-15;147.8;147.9;149.4;150.45;147.55;147.55;148.372;5714595;847897015.8;8407
2018-06-14;149.85;149.9;147.8;150.3;146.85;149.85;148.852;5617237;835244698.7;8689
2018-06-13;149;149.1;149;149.85;147.65;149.1;148.761;4578420;681083777.6;8216
2018-06-12;149.35;149.45;150.2;150.65;148.9;149.15;149.321;4376853;653551680.4;8438
2018-06-11;149.85;149.9;148.9;150.1;147.9;150.05;149.29;5008749;747595884.6;8260
2018-06-08;148.55;148.65;149.65;150.95;148.45;148.9;149.281;5297983;790894151.3;9157
2018-06-07;150.5;150.6;151.6;152.35;149.55;150.6;150.913;7773016;1172938447;14559
2018-06-05;153.55;153.65;153.1;155.4;153;153.25;154.063;5693738;877666469.9;8532
2018-06-04;153.1;153.2;155.05;155.75;152.1;153.2;153.205;3437106;526465004.8;7369
2018-06-01;154.4;154.5;152.6;155.15;152.2;154.45;154.021;3318682;511149507.8;6752
2018-05-31;151.1;151.2;156.1;156.15;151.15;151.75;152.475;7840990;1195567933;11080
2018-05-30;155.05;155.1;157.7;158.3;154.15;155.3;155.958;3854479;601144173.3;8208
2018-05-29;157.55;157.65;157.75;158.05;155.5;157.45;157.071;4076855;640274226.3;7660
2018-05-28;158.95;159.05;161;161.15;158.4;158.9;159.438;2322363;370223664.4;4461
2018-05-25;160.15;160.2;160;162.3;159.55;160.1;160.715;5688098;914191053.1;11407
2018-05-24;159.2;159.3;159.55;160.6;157.65;158.75;159.3;4696247;748110178.7;8582
2018-05-23;159.95;160.05;161.05;161.4;158.05;159.85;159.558;5358289;854956420.4;11614
2018-05-22;162.05;162.1;163;163.25;161.05;161.9;161.78;3618034;585251149.5;7339
2018-05-21;162.45;162.55;161.35;163.45;161.25;162.35;162.611;3687082;599177741.3;6156
2018-05-18;161.05;161.15;159.95;161.15;159.55;161.1;160.79;17629262;2829702106;7132
2018-05-17;159.7;159.75;159.1;160;158.05;160;159.371;3949664;629462112.9;6610
2018-05-16;159;159.05;158.4;159.9;157.85;159.1;159.165;4695420;747358227.1;7741
2018-05-15;158.85;158.9;156;158.95;156;158.55;158.029;4965727;784726135;8242
2018-05-14;156.5;156.55;157.45;157.45;155.6;156.5;156.257;3811073;595506648.6;7382
2018-05-11;157;157.05;159.1;159.2;155.95;156.95;156.977;6791506;1066104298;13858
2018-05-09;158.1;158.15;157.05;159;156.1;157.9;158.1;2807092;443811401.3;5392
2018-05-08;157.6;157.7;155;157.75;153.75;157.55;156.215;5878556;918128950.6;9474
2018-05-07;155.05;155.15;152.1;155.25;151.6;154.85;153.679;4213278;647510576.3;7221
2018-05-04;152.15;152.2;152.35;152.9;150.85;152.15;151.753;4089674;620611699.6;7381
2018-05-03;152.1;152.15;153.2;153.65;151.55;151.6;152.14;4375305;665679716.6;7802
2018-05-02;152.8;152.85;151.85;153.4;150.8;152.85;152.628;6932563;1058099331;11080
2018-04-30;149.5;149.6;151.75;151.95;149.2;149.2;149.868;3194252;478712763.5;4524
2018-04-27;151.85;151.95;152.7;152.85;150.75;151.75;151.482;4160764;630254988.7;8380
2018-04-26;151.8;151.9;152;153.9;151.4;152.15;152.468;4987472;760432662.4;8961
2018-04-25;151.55;151.65;154;154.35;150.55;151.75;151.665;7948794;1205604919;15360
2018-04-24;155.15;155.2;159.05;159.35;155;155;156.59;13495211;2113001261;24264
2018-04-23;161.95;162.05;161;162.55;160.3;162.4;161.774;5426844;877708662.4;10526
2018-04-20;161;161.1;161.2;162;159.65;161;160.677;5533489;889151690.9;9126
2018-04-19;160.85;160.9;160.55;161.6;159.85;161.15;160.837;6211795;998534431.9;10261
2018-04-18;159.9;160.1;158;160.3;158;159.95;159.49;3403710;542857168.5;3838
